,Name
Peter Doig,32
Wolf Vostell,32
Frank Lobdell,32
Nicolás Paris,32
Hans Poelzig,32
Paul Cadmus,32
Jan Tschichold,32
Horst-Egon Kalinowski,32
Roe Ethridge,32
David Alfaro Siqueiros,32
Earl S. Tupper,32
Robert Wilson,32
"John Van Saun, Harry Shunk, János Kender",32
Mimmo Paladino,32
Mikhail Larionov,32
Wael Shawky,32
Anna Maria Maiolino,32
Russell Lee,31
Richard Meier,31
Chris Ofili,31
Guillermo Kuitca,31
Jules Janssen,31
Dick Higgins,31
Arnaldo Pomodoro,31
Albert M. Fine,31
Charles Nègre,31
Eleanore Mikus,31
Tina Modotti,31
Martin Puryear,31
Luc Tuymans,31
Käthe Kollwitz,31
Richard Lindner,31
Daniel Libeskind,31
Darius Kinsey,31
Alison Knowles,31
Larry Fink,31
Otl Aicher (also known as Otto Aicher),30
"Raymond Pettibon, Nelson Tarpenny",30
Dorothea Rockburne,30
Robert Michel,30
Hugo van Werden,30
Glenn Ligon,30
Seymour Rosofsky,30
Barbara Kruger,30
Gaston Lachaise,30
"Gordon Matta-Clark, Harry Shunk, János Kender",30
Takako Saito,30
Jannis Kounellis,30
Peter Stauss,30
Nicholas Krushenick,30
George Sugarman,30
Francis Picabia,30
Abram Krol,29
"Rolf Harder, Rolf Harder & Associates Inc.",29
Henry Pearson,29
James Turrell,29
Ludwig Hohlwein,29
Tauba Auerbach,29
Dr. Harold E. Edgerton,29
William Brice,29
Enrique Zañartu,29
Oskar Schlemmer,29
"Robert Morris, Harry Shunk, János Kender",29
Barry Le Va,29
Douglas Huebler,29
Marisol (Marisol Escobar),29
Josef Müller-Brockmann,29
Walasse Ting,29
Zwi Milshtein,29
Rafael Canogar,29
Hannah Wilke,29
George Ortman,29
"Charles Eames, Eero Saarinen",29
Emerson Woelffer,28
František Kalivoda,28
Meret Oppenheim,28
René Pierre Tal-Coat,28
Robert Hansen,28
Christo,28
Ken Friedman,28
Corita Kent (Sister Mary Corita),28
Jean Tinguely,28
William Leavitt,28
David Moreno,28
Jörg Immendorff,28
Pat Steir,28
Cedric Wright,28
Luis Fernando Benedit,28
Louis Favre,28
Jim Shaw,28
Yasuhiro Ishimoto,28
Unknown Artists,28
Isamu Noguchi,28
Andrea Zittel,28
Piet Mondrian,28
Zoe Leonard,27
Lucio Fontana,27
Carolee Schneemann,27
William Henry Jackson,27
Mona Hatoum,27
Charles Norman Sladen,27
Hector Guimard,27
Marcel Breuer,27
Dan Flavin,27
Constantin Brancusi,27
Lisette Model,27
"Paul Lewis, Marc Tsurumaki, David J. Lewis",27
Hans Erni,27
Larry Clark,27
