Medium,Values
"Digital print with chine collé from a portfolio of ten etchings, five with aquatint, and 25 digital prints with chine collé",25
Lithograph from an illustrated book of twenty-six lithographs (including four colophon pages),25
Leather-bound embossed album with 24 leaves,25
Felt-tipped marker and pencil on paper,25
"Chromogenic color print, printed c. 2005",25
One from an illustrated book with twenty-five photogravures,25
"Watercolor, colored pencil and felt-tipped marker",25
"Ink, colored ink, and pencil on graph paper",25
Book,25
"Gelatin silver print, printed 1981",25
Letterpress from a portfolio of eight etchings (four with aquatint and one with gold leaf) and four aquatints with chine collé; and 25 letterpress prints,25
Lithograph with watercolor additions,25
Gelatin silver photograph,25
One from a suite of twenty-five etchings,25
Silkscreen on paper,25
ABS plastic,25
One from a series of six screenprints,25
"Photocopy, with hand additions",24
"Aquatint, etching, and drypoint",24
One from a portfolio of twenty-four photogravures,24
One from a portfolio of twelve etching and aquatints,24
"Engraving with etched caption, printed in black",24
Lithograph from a portfolio of twelve lithographs,24
Woodcut from an illustrated book with twenty-four woodcuts,24
"Lithograph, offset printed in color",24
Lithograph from an illustrated book of twenty-four lithographs,24
Watercolor and crayon on graph paper,24
One from a portfolio of ten drypoints,24
One from a portfolio of eight aquatints,24
One from an artist's book of twenty-four die-cuts,24
Photolithographic reproduction after pen and ink drawing,24
One from a portfolio of twenty-four etching and aquatints,24
One from a portfolio of twenty-three lithographs (including wrapper front and duplicate on box),23
"Nylon, wool, and cotton",23
"Screenprint from a portfolio of twenty-three screenprinted, one Xeroxed and four offset posters",23
Colored pencil and pencil on paper,23
One from a portfolio of fifteen screenprints,23
Offset lithograph from a portfolio of twenty-four offset lithographs (one with screenprint) and one screenprint,23
Digital typeface,23
One from a portfolio of 23 screenprints with letterpress,23
"Etching and soft ground etching, printed in black",23
Relief engraving,23
"Lithograph, offset printed in black",23
"Gelatin silver print, printed 1963",23
Oil on wood,23
Cassette tape,23
"Etching and lift ground aquatint with roulette, printed in color",23
Printed cotton,23
Engraving over line block reproduction after wash drawing,23
Painted steel,22
One from a portfolio of twenty-two etching and drypoints,22
Ink on notebook paper,22
Ink on printed paper,22
Pencil and conté crayon on paper,22
One from a series of twenty-two offset photolithographs,22
"Etching, printed in dark brown",22
One from a series of twenty-two lithographs,22
Double-sided offset,22
One from a portfolio of twenty-two drypoints,22
"One from a series of twenty-two drawings, pencil on paper",22
One from a portfolio of eleven lithographs,22
Mixed media on paper,22
"One from a series of twenty-two drawings, pencil on vellum",22
Painted vacuum-formed plastic plate,22
"Ink, watercolor, and root beer concentrate on paper",22
One from an illustrated book with 23 transfer lithographs (including wrapper front),22
Two gelatin silver prints,22
Lithograph from an illustrated book with twenty-two lithographs (including pictorial initials and ornaments),22
Glazed ceramic,22
One from a series of eleven lithographs,22
Plastic casing,22
Colored and pressed paper pulp,21
Pochoir,21
Pencil and colored pencil on tracing paper,21
Screenprint and lithograph,21
"Aquatint and lift ground aquatint, printed in color",21
"Gelatin silver print, printed 1990",21
"35mm film (black and white and color, sound)",21
Lithograph from an illustrated book with twenty one lithographs,21
"Pigmented inkjet print, printed 2014",21
Engraving over photogravure,21
Photolithographic reproduction after watercolor,21
"Tempera, ink, and pencil on board",21
Pewter,21
One from a portfolio of seven lithographs,21
Ink and Letraset on vellum,21
One from a portfolio of twenty-two woodcuts,21
One from an illustrated book with 21 lithographs (including cover and 10 variants) and 6 photolithographed tailpieces,21
Watercolor and pencil on graph paper,21
One from a portfolio of twenty lithographs,20
One from a series of five screenprints,20
"Pigmented inkjet print (photomontage), printed 2011",20
Salted paper print from a waxed-paper negative,20
"Gelatin silver print, printed 1997",20
One from a series of 100 screenprints,20
"Watercolor, gouache, and pencil on paper",20
Pochoir from an illustrated book with twenty pochoirs,20
One from a series of thirty-eight 3M color-in-color magnetic process prints,20
One from a book of musical scores with twenty lithographs (including wrapper front),20
Etching and tonal etching,20
One from an illustrated book with ten etchings,20
C-print,20
Album of 75 gelatin silver prints,20
Ink and graphite on paper,20
One from a portfolio of twenty aquatints,20
"16mm film transferred to video (color, silent)",20
"Three lithographs, offset printed",20
One from a portfolio of eight screenprints,20
Graphite and color pencil on tracing paper,20
"Aquatint, etching, and engraving",20
Screenprint with ink additions,20
Cut-and-pasted printed paper on board,20
One photolithographic reproduction from an illustrated book with one four-color relief halftone reproduction after drawing of stage set and 21 photolithographic reproductions after drawings of costume designs,20
One from an exhibition catalogue with twenty woodcuts,20
Stencil,20
Diazotype,20
One from a portfolio of twenty pochoirs,20
Letterpress lettering (masthead) on first page of each issue,20
One from a portfolio of twenty etchings,20
One from a portfolio of five screenprints,20
Cut-and-pasted printed paper on printed paper,20
"One from an illustrated book with twenty relief prints, on two pages",20
"Gelatin silver print, printed 1974",19
Two 12-inch vinyl records,19
One from a portfolio of twenty three etchings,19
"Gelatin silver print, printed 1957",19
Ink on colored paper,19
"Cut-and-pasted printed paper with felt-tip pen, ballpoint pen, and pressure-sensitive tape on paper wrapped in synthetic polymer sheet",19
"Gelatin silver print
",19
Ink on acetate,19
"One from an illustrated book with twenty line block reproductions after woodcuts, one line block reproduction after drawing on title page, and one line block reproduction after drawing (duplicate of title page) on front cover",19
One from an illustrated book with 19 line block reproductions after drawings (including front cover),19
Brass,19
One from an illustrated book with eighteen lithographs and one lithographed title page,19
Lithograph from a portfolio of 19 lithographs and 1 monotype,19
"Gelatin silver print, printed by James Dow",19
"Etching, engraving, and drypoint, with hand additions",19
Pencil on illustration board,19
"Etching, aquatint, and drypoint from a portfolio of fifty etching, aquatint and drypoints",19
Ink and crayon on paper,19
Gouache and watercolor on paper,19
"Etching, drypoint, and aquatint",19
One from a series of six lithographs,19
Ink and colored ink on colored paper,18
"Pencil on paper
",18
Collage,18
"One from a series of thirty-eight 3M color-in-color magnetic process prints
",18
One from a portfolio of eighteen collotypes,18
Tempera on poster board,18
Lithograph on self-adhesive paper,18
Watercolor and gouache on paper,18
One from a portfolio of nine etching and aquatints with chine collé,18
One from a portfolio of eighteen offset lithographs with synthetic dye-based ink additions,18
Screenprint with collage additions,18
"Gelatin silver print, printed 1950",18
"Lithograph from an illustrated book with eighteen lithographs, four etchings (two with aquatint), one photogravure, two woodcuts, one ready-made object (folder front), and reproductions.",18
Newspaper in synthetic polymer sleeve,18
Polypropylene,18
Pencil on notebook paper,18
"Lithograph and screenprint, printed in color",18
"Gelatin silver print, printed c. 1970 by James Dow",18
Synthetic polymer paint on wood,18
Porcelain,18
One from a portfolio of 18 lithographs,18
1 sheet,18
"Aquatint and etching, printed in color",18
One from a portfolio of twenty screenprints (two with lithograph),18
Lithograph from a periodical with five lithographs,18
"Lithograph, with hand additions",18
One from a portfolio of 18 double-sided screenprints,18
One from a series of eighteen etchings with hand additions,18
Silver-gelatin print,18
One from a portfolio of 18 screenprints,18
Aquatint and drypoint with roulette over photogravure,18
One from a series of eighteen lithographs,18
Linen,18
One from a portfolio of eighteen etching and aquatints with chine collé,18
Colored pencil on print,18
"Line block reproduction and pochoir after drawing, printed in color",18
One from a portfolio of nine woodcuts,18
"Gelatin silver print, printed 1940 from dry plate by Berenice Abbott",17
Embossing,17
"Artist's book, offset printed",17
Blueprint,17
"Gouache, ink, and pencil on paper",17
"Watercolor on transparentized paper
",17
Ink on mylar,17
"Gelatin silver print, printed 1960",17
Photoetching,17
Charcoal and pencil on paper,17
Engraving and drypoint over photogravure,17
One from a portfolio of seventeen photogravures,17
"Aquatint, lift ground aquatint, and drypoint with roulette over photogravure, printed in black",17
"Etching over relief halftone reproduction after drawing, relief printed",17
Chromogenic color print with sand-blasted text on glass,17
Oil on linen,17
"Gelatin silver print, printed 1941",17
"Gelatin silver print (""Parmelian print"")",17
Conté crayon and watercolor on paper,17
Lithograph and etching,17
"Etching and aquatint from a portfolio of 27 etchings, 17 with aquatint",17
"Engraving, printed in color",17
Cyanotype,17
Screenprint from a portfolio of thirty-four photolithographs and sixteen screenprints,17
One from a portfolio of nine screenprints,17
One from a portfolio of nineteen drypoints,17
Colored pencil on tracing paper,17
"16 postcards (8 letterpress, 5 gravure, 2 collotype, letterpress, and chromolithograph)",17
"Screenprint from a portfolio of thirty-one lithographs (one with aquatint, one with collotype, one with screenprint), twenty-two screenprints (one with embossing, one with flocking, one with stencil), eleven etchings (five with aquatint, one with aquatint and drypoint, one with aquatint, drypoint, and engraving), three aquatints (one with etching), and two woodcuts",17
"Drypoint, etching, and aquatint",17
Charcoal on acetate,17
Wool,16
"Gelatin silver print, printed 1967",16
"Engraving on type metal, relief printed in black",16
One from a portfolio of eight etching and aquatints with chine collé,16
"Etching, drypoint, and pochoir, printed in color",16
"Video (black and white, silent)",16
Print on vellum,16
"Wood engravings, printed in black",16
"Plastic box with offset label, containing objects in various media",16
One from an illustrated book with seventeen lithographs (including cover),16
One from a series of sixteen lithographs,16
Gelatin silver print (toned),16
Photogravure from a portfolio of sixteen photogravures and two woodcuts,16
One from a portfolio of sixteen etching and aquatints,16
"Gelatin silver print, printed 1987 by Tom Consilvio",16
"Woodcut from a portfolio with sixteen woodcuts, one woodcut title page, one woodcut table of contents, one woodcut cover and one woodcut colophon",16
One from a series of sixteen screenprints,16
"One from a portfolio of sixteen etching, aquatint, and drypoints with roulette",16
One from a portfolio of eight etchings with chine collé,16
One from an illustrated book with sixteen etching and aquatints,16
One from a portfolio of sixteen etchings,16
"Photolithograph, printed in black",16
"Lift ground aquatint and etching, printed in color",16
Engraving and aquatint,16
One from a portfolio of sixteen relief prints,16
Lithographs,16
One from a portfolio of 16 lithographs,16
"Etching with aquatint, spitbite, sugarlift, drypoint, and fabric collé",16
Pastel and charcoal on paper,16
One from a portfolio of sixteen etching and drypoints,16
Lithograph from a portfolio of 16 lithographs,16
One from a portfolio of sixteen photolithographs,16
"Aquatint and etching, printed in black",16
"Line block, printed in color",16
"Periodical, lithograph printed",16
Monoprint,16
One from a series of 16 offset lithographs,16
"Etching, aquatint, and drypoint, printed in color",16
Pencil and pastel on transparentized paper,16
Lithograph from an illustrated book with eight lithographs,16
Screenprint from an illustrated book of sixteen screenprints,16
One from a series of five linoleum cuts,15
One from a series of fifteen etching and aquatints,15
Lithograph and letterpress,15
Hand-colored gelatin silver print,15
Cardboard,15
"One from a portfolio of 18 photoetchings
",15
"Linoleum cut, printed in color with bleed through from preceding and following plates",15
"Gelatin silver print, printed 1994",15
Colored ink on Japanese paper,15
"Etching and engraving, printed in color",15
Woodblock,15
"Drypoint with roulette, printed in black",15
Diazotype from a portfolio of 71 prints,15
Computer-generated plot on paper,15
"Oil on canvas, two panels",15
Screenprint with hand additions,15
Etching and drypoint from a portfolio of twenty etchings (fifteen with drypoint),15
One from a portfolio of fifteen lithographs,15
"Gelatin silver print, printed 2003",15
One from an illustrated book with fifteen lithographs,15
Zipatone and laminated colored paper with ink on paper,15
One from a portfolio of eight etching and aquatints,15
Oil on cardboard,15
"Fourteen lithographs, printed in color",15
"Journal, letterpress printed",15
One from a portfolio of fifteen etchings,15
Pencil,15
Metal,15
Marble,15
"Lift ground aquatint and drypoint with roulette over photogravure, printed in black",15
"Gelatin silver print, printed by Charlie Rodemeyer",15
"Drypoint, engraving, and aquatint",15
Watercolor on paper on cardboard with felt-tip pen,15
Etching and aquatint with chine collé,15
Ink on paper on board,15
"Woodcut and linoleum cut, printed in color",15
Paper,15
"Gelatin silver print, printed 1988",14
"Etching, engraving, and drypoint",14
One from a series of six etching and aquatints,14
"Dye transfer print, printed 1986",14
Portfolio of eighteen lithographs,14
Ink and synthetic polymer paint on paper,14
Glazed stoneware,14
Pencil and gouache on paper,14
"Screenprint reproduction (executed by Arcay), printed in color",14
Photogravure from gum bichromate print,14
Screenprint on canvas,14
"Gelatin silver print, printed 2010",14
One from a portfolio of seven aquatints,14
One from a series of fourteen etching and photogravures with chine collé,14
One from a portfolio of fourteen etching and aquatints with letterpress,14
One from a portfolio of fifteen lithograph and screenprints,14
One from a portfolio of 14 photolithographs,14
"Woodcut and photolithograph, printed in black",14
One from a portfolio of seven woodcuts,14
"Gelatin silver print, printed c. 2000",14
"Inkjet print, printed c. 2009",14
Lithograph from an illustrated book with fourteen lithographs,14
"Drypoint and aquatint, with hand additions",14
"Etching and engraving, with hand additions",14
Watercolor and ink on notebook paper,14
Aquatint from an illustrated book with fourteen aquatints,14
"Aquatint and soft ground etching, printed in black",14
One from a portfolio of fourteen aquatints on xerograph with chine collé,14
Lithograph from an illustrated book with 14 lithographs,14
One from a series of five lithographs,14
Letterpress on printed paper from a portfolio of 71 prints,14
Illustrated book with one lithograph,14
"One lithograph, from an unbound illustrated book with fourteen lithographs",14
One from an illustrated book with fourteen line blocks and one ink drawing,14
Etching and roulette,14
"Graphite rubbing with screenprint from an illustrated book with twenty-eight graphite rubbings, fourteen with screenprint additions",14
Portfolio of eleven lithographs,14
Glass transparency,14
"Graphite rubbing from an illustrated book with twenty-eight graphite rubbings, fourteen with screenprint additions",14
One from a portfolio of fourteen etching and aquatints,14
Felt-tipped pen and colored pencil on tracing paper,14
"Gelatin silver print, printed 1987",14
Watercolor and charcoal on paper,14
"Aquatint, lift ground aquatint, etching, and drypoint with roulette, printed in color",14
Etching from a portfolio of fourteen etchings with chine collé; and one letterpress print with artist's text,14
Covers with letterpress lettering on front and back; letterpress text includes typographic designs,13
Ink and cut-and-pasted gelatin silver photographs on tracing paper,13
One from a portfolio of thirteen engravings,13
"Gelatin silver print, printed 1952",13
Gouache-lithograph,13
Offset on card,13
"Photolithographic reproduction of pen and ink drawing, printed in black",13
"Soft ground etching and lift ground aquatint, printed in color",13
One from a portfolio of thirteen screenprints,13
"Drypoint from an illustrated book with 26 aquatints (ten with drypoint, six with engraving, and two with etching), 14 drypoints (one with engraving), and one engraving",13
Line block,13
One from a series of thirteen digital prints,13
Aquatint with chine collé from a portfolio of thirteen aquatints with chine collé; and two letterpress prints with artist's text,13
One from a portfolio of 13 screenprints,13
Letterpress print from a portfolio of eight photogravures with chine collé; and thirteen letterpress prints with text,13
"Etching and aquatint from a portfolio of fifty etching, aquatint and drypoints",13
One from a portfolio of six etchings,13
Pastel on colored paper,13
Color instant print (Polacolor II),13
Birch,13
Lithograph from a periodical with four lithographs,13
Salted paper print from a glass negative,13
One from an illustrated book with thirteen screenprints,13
Felt-tip pen on graph paper,13
"Aquatint, etching, and drypoint from an illustrated book with thirty-one aquatints",13
"One from a portfolio of thirteen digital prints with etching, aquatint, and chine collé",13
ABS plastic and other materials,13
"Gelatin silver print, printed 1969",13
Line block reproduction after woodcut,13
Engraving and etching,13
Aquatint and drypoint from an illustrated book with thirty-one aquatints,13
"Etching, printed without ink",13
Silver,13
Screen printed silk,13
Blown painted glass,13
"One etching, aquatint and photogravure from a portfolio of fourteen etching and aquatints thirteen with photogravure",13
Mimeograph,13
"Drypoint

Transfer lithograph, printed in black",13
"Silver dye bleach print, printed 1982",13
"Rubber stamp, printed in color",13
"Etching, soft ground etching, and aquatint, printed in black",13
Xerox,13
One from a portfolio of thirteen rubber stamps,13
"Gelatin silver print, printed 1972",13
Black and white instant print (Polaroid),13
"Colored pencil on paper
",13
"Chromogenic color print, printed 1996",13
Lithograph from illustrated book with thirteen lithographs,13
Lithograph from a portfolio of thirteen,13
