Medium,Values
Illustrated book with lithograph with oil and ink additions,1
Book with two woodcuts,1
"23 lithographs, printed in black",1
Wood and Plexiglass,1
"16mm transferred to video (color, sound)",1
"Aquatint, softground & drypoint, printed in black",1
"Wood, plywood and metal",1
Photoetching and aquatint bound into journal,1
Ink on paper with gouache,1
Injection-molded ABS plastic,1
"Oil on linen, six panels",1
Gouache and cut-and-pasted paper on green paper on cardboard,1
"One screenprint with monotype from a portfolio of eleven screenprints, two with monotype, three with lithograph, two with digital printing, and two with linoleum cut, some with metallic powder or glitter
",1
Synthetic polymer paint on supermarket poster,1
Oil on museum board,1
Etching with chocolate squashing,1
"Rubber stamp and ink, pen and ink on graph paper",1
"Mixed media, sound (5 min.), pneumatics, robotics, elector magnetic beaters, dentist chair, electric guitar, computer, various control systems",1
Mercerized cotton,1
Illustrated book with eight photolithographic reproductions after collages,1
Photoengraving,1
Silver gelatin print,1
Metallic paint and pencil on paper,1
"Cut-and-pasted printed paper, ink, gouache, and pencil on embossed paper",1
Oil and wood on composition board,1
Cut-and-pasted printed paper on paper with ink,1
Altered book (CONFIRM),1
"Cast-injected ABS polymer, flexible synthetic rubber skin, and melamine",1
Letterpress half-tone (two-color),1
Chrome-plated metal and plastic film,1
Iron scorches on paper in two painted window frames,1
"Phonograph record with screenprinted cover from a portfolio of seventeen screenprints, nine lithographs, two lithographs with screenprint, one photocopy, and one photograph",1
Illustrated book with nineteen etching and aquatints after monotypes; seventeen wood engravings after drawings and line block table of plates after sketches,1
Lacquer and synthetic enamel on composition board,1
"Lithograph, screenprint, and embossing",1
"Photomontage, color pencil on paper",1
"Oil, string, and canvas on wood",1
"Perspex, steel and electronic components",1
"Plastic box with offset label, containing 13 offset cards",1
Silver and ivory,1
Oil on fiberglass with waxed paper frame and masking tape,1
"Eighteen black-and-white instant prints (Polapan), with hand-applied ink",1
Calendar with fourteen screenprints,1
"Oil, crayon, and pencil on two pieces of paper",1
"Gouache, ink, and cut-and-pasted gelatin silver prints on black paper",1
Book with letterpress text and cover illustration,1
"Plastic box with offset label, containing hair",1
Reduced line block reproductions after woodcuts,1
Illustrated book with one etching and aquatint; and four photolithographic reproductions,1
Nickel-plated steel,1
"Synthetic polymer paint, metallic pigments, and ink on paper",1
"55 etchings, some with drypoint (including wrapper front, title page, and pictorial initials), and line block table of illustrations, printed in black on cream, smooth, wove Japan Shidzuoka paper, 14 added duplicate plates on cream, smooth, laid Arches paper, and 3 added unbound trial proofs (2 etchings and 1 photogravure with drypoint) on various papers",1
"Ink, felt-tip pen, and pencil on lined paper in notebook",1
Double-sided lithograph from a set of nine lithographs,1
Correction fluid and ink on paper,1
Colored ink and ink on board,1
Screenprint on mirror card,1
Felt-tip pen and oilstick on paper,1
"Photocopy, pencil, and hair on printed paper",1
"Transfer lithograph, printed in black and colored by hand in watercolor",1
Plastic and aluminum,1
92 line block reproductions after ink drawings; and front flyleaf (page 3) embellished by the artist in 1946 with pen and ink drawing,1
Letterpress on three sheets,1
Screenprint on shopping bag with handles,1
Lithograph with varnish additions,1
"Photogravure, laser-cutting and collage",1
"Plaster, polystyrene board, acrylic paint, felt, and printed paper",1
Book with 145 collotypes,1
"Painted metal plate, synthetic polymer paint, wood, fiberboard, steel and tape",1
Art & Project bulletin no. 157 and one duplicate copy,1
"Glass bottle, printed tissue, and box",1
Ballpoint pen and torn paper in notebook,1
"Soft ground etching, deep etching and aquatint, printed in color and black",1
"Lead and tin, in two parts",1
"Aluminum, chrome-plated steel rod, painted steel, plastic hardware, and flourescent tube",1
"Plastic box with offset label, containing 51 offset cards",1
"Plywood, wood dowels, and plastic-covered cord",1
Watercolor and pastel on paper with metallic paper border on board,1
"Synthetic polymer paint on fiberglass-reinforced polyester, in sixteen parts",1
"Engraving, woodcut and embossing with silver leaf additions",1
Celadon porcelain,1
"Gelatin silver print, synthetic polymer paint, and pencil on board",1
Cut-and-pasted printed paper and cut-and-pasted gelatin silver prints on board,1
"Acrylic, dyed Mallard feathers and aluminum",1
Charcoal and color pencil on tracing paper,1
Stainless steel and molybdenum steel,1
Eleven mixed media prints,1
"Pencil, ink, crayon, charcoal and correction fluid on paper
",1
Ballpoint pen and crayon on paper,1
"Engraving over photogravure, with hand additions",1
Portfolio of eleven aquatint and etchings with chine collé,1
"10 lithographs, printed in color; and supplementary drawing",1
"Illustrated book with 66 photolithographic reproductions of woodcuts
",1
"Photosensitive gelatin on silk, with wood frame",1
Assemblage of painted paper and printed paper with ink and gouache on cardboard on board,1
"Lithograph and photolithograph, printed in color with collage",1
"Etching, engraving, and aquatint (with etched manuscript by Alastair Reid), printed in black",1
"Cut-and-pasted paper with pencil, felt-tip pen, colored ink, watercolor, ballpoint pen, colored pencil, and correction fluid on two pieces of paper",1
Plastic case and metal,1
"Book, offset printed with adhesive-backed circuits and copper tape",1
Chromogenic color print (Kodachrome),1
Oil on aluminum paper over canvas,1
Synthetic polymer paint with cut and pasted paper and fabric on wood panel,1
"Graphite, synthetic polymer paint, and ink on transparentized paper",1
"Pencil, felt-tip pen, watercolor, and ink on paper",1
Relief halftone and lithograph,1
"Synthetic polymer paint and pencil on canvas, two panels",1
"House dresses, resin and fiberglass",1
"26 etchings (including wrapper front), printed in black",1
Oil with incising on board,1
Fabric-covered polyurethane foam,1
Pewter and enameled copper decoration,1
"Multiple of electric toothbrush, false teeth, and box",1
"Drypoint, lift-ground aquatint, aquatint, and etching, printed in black",1
"Synthetic polymer paint, gesso, charcoal, and pencil on canvas",1
"Balsa, fiberglass, and redwood",1
"Non-woven polyester, porcelain, lacquered metal, and cast-iron",1
Color pencil and photostat on board,1
Gelatin silver print with cut-and-pasted gelatin silver print additions,1
Tubular steel and leather upholstery,1
Pigmented inkjet print on canvas,1
"Plastic box with offset label, containing two attached electrical plugs",1
"Gelatin silver print, printed September 1972",1
"Cut-and-pasted paper, gouache, typewriting, and pencil on graph paper",1
Crayon on paper with platemark,1
"Wood box containing binder of various projects by Friedman and various objects, and objects in various media",1
"Transfer drawing, wash, pencil, gouache, and crayon on paper",1
15 movable wood squares in wood frame,1
"Illustrated book with 5 reproductions: 2 photolithographs after gouaches; 2 line blocks after pen and ink drawings; and 1 photogravure with aquatint after pen and ink drawing
",1
Lithograph from an illustrated book with eight drypoint and etchings and one lithograph,1
"Gelatin silver print and paper folder with text
",1
Cut-and-pasted-printed paper and cut-and-pasted synthetic sheeting on photo offset lithograph in artist's frame,1
"Etching, aquatint, engraving and roulette",1
Plastic box containing nine offset cards,1
Screenprint on glassine,1
"Nine 7-inch vinyl records, with cardboard box",1
"2 engravings, printed in black; and 1 lithograph (wrapper), printed in color",1
Portfolio of five screenprints on aluminum,1
39 etchings (including head and tailpieces and pictorial initials),1
Pencil on 66 pieces of paper,1
"Painted metal, synthetic leather, and lead",1
"Aquatint, etching, and photogravure, printed in color, with gouache addition",1
"Baked enamel on steel rods, mounted on painted steel plate",1
"Felt-tip pen, ink, watercolor, oil pastel, and pencil on wrapping paper",1
Set of twenty-five artist's books,1
"Watercolor, pencil, and felt-tip pen on transparentized paper",1
Ballpoint pen and crayon on brown notebook paper,1
"19 collotype reproductions: 1 after Jean Cocteau drawing, 17 after Marie Laurencin drawings and watercolors (including duplicate front covers), printed in color, and 1 after Francis Poulenc musical score; and collotype reproductions of photographs",1
Wood and twine,1
Welded aluminum,1
"Etching and aquatint from a portfolio of five etchings, one with aquatint",1
Graphite and crayon on gelatin-silver photograph,1
Periodical with reproduction on cover and three woodcuts by Josef Eberz,1
"Diamond plate aluminum, painted steel, and mirrors stained with translucent color",1
Painted fiberglass and synthetic hair,1
Ballpoint pen and cut-and-pasted printed paper on cardboard in synthetic polymer sleeve with tape,1
"Twenty one lithographs, printed in color and in black on various surfaces, three with collage additions",1
"Portfolio of collotype and albumen silver prints, factory layout, and lithographed map",1
"Photogravure, collage, water color, laser-cutting and oil",1
"Photostat, mounted and framed",1
"Lithograph, printed in black on ivory, smooth, laid China paper tipped onto ivory, smooth, wove Rives BFK paper",1
"Aluminum, rubber, plastic, and nylon",1
"Engraving, etching, and drypoint",1
"Pultruded and welded steel
",1
Illustrated book with thirty-six photolithographs,1
"Lithograph from a portfolio with seven screenprints, one etching, one lithograph, and one embossing",1
Polyurethane and aluminum,1
Etching with tissue additions,1
"Collage of paper with charcoal, pencil, tempera",1
"Lift ground aquatint, aquatint, soft ground etching, and carborundum, printed in color",1
"Transfer drawing, pencil, watercolor, gouache, and crayon on paper",1
Lead over wood panel painted with metallic powder in synthetic polymer,1
Mylar print,1
Pencil on printed card,1
Multiple of glass and metal,1
Oil pastel on colored paper,1
"Lithographs, printed in black and in colors",1
"Artist's book, letterpress, offset lithograph, and photocopy printed, with felt-tip pen, ballpoint pen, and rubber stamp additions",1
"Felt-tip pen, ballpoint pen, ink, pencil, watercolor and typewritten pages in spiral ring notebook with additional loose sheets",1
Cast iron and porcelain,1
12-inch vinyl record with offset cover,1
Cardboard boxes,1
".1: ink on tracing paper
.2: ink, graphite on tracing paper
.3: ink on tracing paper",1
Glass bottle with corkscrew and printed label,1
Felt-tip pen and crayon on printed paper,1
"Envelope with John Hunov's bookplate, containing five works in various media",1
Acrylic and gesso on newspaper,1
"80 lithographs (including wrapper front and back and initials), printed in color",1
Pastel and charcoal on gray paper,1
"Crayon, pencil and colored pencil on paper",1
"Pen and ink, watercolor, and charcoal on paper",1
Multiple of nineteen pencils with lithograph and etching,1
"Encaustic on canvas, three panels",1
Chromogenic color prints and chipboard sculptures,1
Linoleum cut on two sheets,1
"Illustrated book with five etching and aquatints, one with watercolor and gouache additions (wrapper)",1
Series of eleven screenprints with hand additions,1
"Lift ground aquatint, etching, and engraving with roulette, relief and intaglio printed in color",1
"Wood, Plexiglass, resin, and aluminum",1
Incised carbon paper over paper,1
"Cover with lithographed illustration by Larionov and manuscript text on front, and lithographed manuscript text on back; 14 lithographed illustrations by Goncharova; lithographed manuscript text",1
"Woodcut, printed in black, medium red brown, silver, dark orange yellow, dark green blue, dark purple blue, white, da rk pink and yellow",1
Polystyrene connectors and glass panels,1
Painted formica and wood,1
"Lithograph, printed in color with collage and enamel paint additions",1
Etching and stencil,1
"Cut-and-pasted printed and painted paper, charcoal, pencil, and gouache on gessoed canvas",1
Gouache on plywood,1
One from a series of five etching and aquatints,1
Etching with rubber stamp and collage,1
"Tubular steel, formica, plywood,  and plastic",1
Oil over black chalk on tan cardstock mounted on canvas,1
"Ink, felt-tip pen, and synthetic polymer paint on paper",1
Multiple of twenty-six inkjet-printed cards and thirty-two wooden clothespins in wooden box,1
"Graphite, ink, synthetic polymer paint, and gouache on paper",1
Book with seven letterpress illustrations (including cover),1
Rubber and paint,1
Typewriting and pencil on paper,1
"Synthetic polymer paint, urethane paint, and pencil on linen",1
Electroplated brass,1
"Box containing offset, glass, and objects in various media",1
"Charcoal, synthetic polymer paint, typewriting, dirt, and pencil on paper",1
Graphite and charcoal on tracing paper,1
Rhinoceros and Generative Components software; photo reactive liquid resin SL 7510 and nylon 12,1
Screenprint on acetate mounted on paper,1
"Cut-and-taped transparentized paper with pencil, felt-tip pen, transfer type, and crayon on board",1
"Illustrated book with elevent screenprints (including portfolio front), 1 with letterpress type",1
Series of 5 photolithographs,1
"6 cut papers (1 with punching and 1 with black ink additions) on gray brown, smooth, wove paper; and photolithographic reproductions of typescript and after 15 drawings and collages (including front cover) on ivory, smooth, wove paper",1
Collage of black and white instant prints attached to composite board with staples,1
"Gelatin silver print, printed c. 1967
",1
Hand-turned mexican mahogany,1
"Cover with pen-and-ink, watercolor, and gouache illustration on front (portrait of Sofiia Melnikova)",1
"Artist's book of cardboard and string, containing 273 sheets of paper with rubberstamp and metallic foil endpaper",1
Illustrated Book with 8 lithographs,1
"Carbon fiber, glass fiber, epoxy, steel and LED lights",1
Illustrated book with eight photolithographs and three line block reproductions,1
Oak frame with leather seat and back,1
"1 pochoir (front cover) and 16 wood engraved ornaments and reproductions
",1
"Pencil, crayon, and gouache on paper",1
Aluminum casting silicone resin and polyamide,1
"Double-sided screenprint, folded, from a portfolio of seventeen screenprints, nine lithographs, two lithographs with screenprint, one photocopy, and one photograph",1
"Colored pencil, pencil, and ink on transparentized paper",1
"43 line block reproductions after brush or pen and ink drawings; and supplementary brush, pen and black ink drawing (frontispiece)",1
"Lithograph and screenprint
",1
Rosewood cabinets,1
"Transfer drawing, wash, watercolor, colored pencil, and pencil on paper",1
"Etching and aquatint from a portfolio of four chromogenic color prints, four digital prints (one double-sided), one silver dye bleach print, one monotype and photoetching, and one etching and aquatint",1
"Computational cinema (color, sound)",1
Portfolio of four etching and aquatints,1
Oil and chalk on canvas,1
Low-density polypropylene,1
Ink on chipboard with latex additions,1
"Gelatin silver print (hand-colored with oil pencils, mylar overlay machine stitched to mount with artist's hair in between",1
"Multiple of digital ink jet print, foam core, and staples",1
34 lithographs and supplementary suite with 16 lithograph and pochoirs and 2 lithographs,1
Cut-and-torn colored paper and pencil on board,1
"Gouache, crayon, pen and ink and pencil on brown notebook paper",1
Illustrated book with 30 color photographs and 30 screenprints,1
Four etchings with aquatint,1
"Super 8mm film transferred to video (black and white, sound)",1
"25 iMovies (color, sound; 5:48 min.), 24 HD monitors, 26 MacMini computers",1
Portfolio of eight etchings with cut-and-pasted chine collé,1
"Watercolor, ink, felt-tip pen, and pencil on paper",1
8 rubber stamps and supplementary suite,1
Diazotype and ink on transparentized paper,1
"Synthetic polymer paint on wood, seven panels",1
"Chromogenic color print, printed 2008",1
"Graphite, ink, and colored pencil on paper",1
Gelatin silver prints mounted to album page,1
Periodical with one woodcut (cover) by František Bílek,1
Lithograph with rotating mirror in artist's frame,1
"Graphite, graphite wash, gesso and rabbit-skin glue on paper",1
Latex and synthetic polymer paint with metallic powders on canvas,1
Building fragment: wood and linoleum,1
"Collage with photograph, pencil and watercolor manuscript text.",1
"Pencil, gouache, and ink on gesso on board",1
Enameled metal and acrylic,1
"Ink, graphite, and correction fluid on graph paper",1
"Photolithograph,",1
"13 woodcuts (including cover), printed in black; 1 woodcut ornamental initial (with orange tissue overlay); and woodcut publisher's device",1
Illustrated book with 109 linoleum cuts in two volumes,1
Journal with eleven special edition projects,1
"Gelatin silver print, ink",1
Portfolio of sixteen etching and drypoints,1
Black and colored ink on graph paper,1
Five pigmented inkjet prints,1
"Paper, silicon, and microchip",1
"Crayon, wash, and pencil on paper",1
Acrylic with metal hardware,1
Multiple of enamel on metal,1
16 drypoints,1
"1 lithograph (frontispiece), printed in color; and 6 line block reproductions after drawings",1
"Plastic box with offset label, containing 23 keys",1
"Illustrated book with six lithographs, two woodcuts, and one etching and aquatint",1
Concrete and painted steel,1
"Two-channel 16mm film installation re-edited to single-channel video (color, sound)",1
Casein and ink on graph paper,1
wood box and lid,1
"ABS plastic, rubber, disposable razor blade",1
"Box with compartments containing an octagonal metal construction, silvered plastic spheres, a metal plate with translucent plastic panel, an oil on canvas, an oscilloscope tube, a cathode-ray tube, and a miniature speaker which repeats the word ""eight"" at 15-second intervals, in a composition board box",1
"1 lithograph (frontispiece), printed in black, and 7 reproductions after pen and ink drawings",1
Portfolio of 43 screenprints,1
Brass plate,1
Watercolor and pencil on notebook paper,1
"Lithograph, printed in black on green paper",1
"Synthetic polymer paint, gouache, nail polish, fabric dye, bleach, felt-tip pen, ballpoint pen, colored pencil, and pencil on paper",1
"Federal Print Suit: canvas, printed fabric, zippers, and buckles, 48 1/8 × 95 5/8"" (122 × 243 cm)
Black Letter: screenprint ink and synthetic polymer on construction-grade plywood, 80 7/8 × 48"" (205.4 × 121.9 cm)",1
Graphite and cut-and-pasted reproductions on illustration board,1
"Vinyl-covered attaché case, containing fifteen rubber bulbs with noisemakers mounted on wood platform",1
"Ltihograph, printed in color",1
Cover with lithographed illustration on front; 6 lithographed illustrations,1
"Photogravure, gouache and plasticine",1
"Ink, cut-and-pasted newspaper, and pencil on paper",1
Copper and steel,1
Collotype and screenprint with collage additions from a portfolio of eight collotype and screenprints and one screenprint with aerosol spray,1
"12-page stapled booklet, photocopy",1
"Charcoal, watercolor, and chalk on paper",1
Illustrated book with thirteen lithographs and one oil drawing,1
"Typewriting on paper, with rubberstamp and cut-and-pasted offset additions",1
"Etching, drypoint, and engraving, printed in black",1
Fifteen from a series of twenty-two photostats,1
Pencil on found paper,1
Oil and tempera mixed with sawdust on canvas,1
Gelatin silver print (brushed-on developer),1
"Exhibition brochure, invitation card, and magazine",1
"Engraving and woodcut, printed in color",1
Four Italian Photobusta,1
"Gouache, watercolor, crayon, charcoal, ink, and pencil on paper",1
"Book, offset printed with velour on abrasive fabric and suede",1
Screenprint on synthetic polymer sheet and colored pencil on transparentized paper,1
"Transfer drawing with synthetic polymer paint, cut-and-pasted paper, and pressure-sensitive stickers on plexiglass
",1
"Oil, pencil, and colored pencil on paper",1
"Three-channel video (color, sound; 15 min.) and helicopter",1
Portfolio of six photogravure and aquatints,1
Portfolio of eleven etchings with gravure on pigmented paper,1
"Book of twenty etchings (six with drypoint and six with aquatint), four drypoints, and one engraving",1
"a: Ballpoint pen, felt-tip pen, watercolor, and pencil on musical composition paper
b: Pencil on musical composition paper",1
"Illustrated book with ten etchings (two with aquatint, drypoint, and/or etching), five drypoints, four engravings (one with drypoint), three lithographs, and one woodcut",1
"Bronze, two figures in four parts",1
Rosewood and chrome-plated metal,1
Polished aluminum with felt bottom,1
"Pencil on paper, gelatin silver print, metallic paper, colored paper, and graph paper",1
Color photograph and crayon,1
"Cut-and-pasted printed paper, oil pastel, gouache, felt-tip pen, and ink on graph paper",1
Cut-and-pasted color-coated paper and pencil on four sheets of black paper,1
"Ten woodcuts, printed in black",1
Multiple of laminated offset placemat from a multiple containing 31 objects in various media,1
"Ink, cut-and-pasted self-adhesive polymer sheet, and pressure-transferred printed film on tracing paper, taped to paper",1
"Welded bronze, brass wire and sheet on limestone",1
"Envelope with stamped ink and pencil, containing metal mirror",1
Hand-blown iridescent glass,1
Illustrated book with twenty screenprints,1
"Lithograph from a portfolio of six drypoints and two lithographs

",1
Synthetic polymer paint and felt-tip pen on eight pieces of printed paper,1
"Painted steel, ten units",1
Commercial stamp dispenser,1
"22 etchings (15 over photogravure) with aquatint, lift ground aquatint, soft ground etching, drypoint, and/or roulette, printed in black on cream, smooth, laid Arches or Rives BKF paper; and 104 wood engravings cut by Georges Aubert (including front cover and table of plates), printed in black on ivory, smooth, wove Vidalon paper (except cover)",1
"Cut-and-pasted paper, leaves, oil, and tempera on paper",1
Blue carpenter's chalk and ink on graph paper,1
Watercolor and charcoal on cut-and-pasted paper with glass lenses and cut-and-pasted printed paper on paper,1
"Oil on cut-and-pasted gelatin silver prints (by Ferdinand Boesch) on board with pencil, colored pencil, cut-and-pasted transparentized paper, and pressure- sensitive tape on board",1
Polished brass,1
Plywood and copper wire,1
Pen and ink and wash on card,1
Portfolio of fourteen screenprints,1
"11 lithographs by Maurice Utrillo: 1 printed in color and 10 printed in black; 1 lithograph by Suzanne Valadon, printed in color; and collotype reproductions after Utrillo paintings on cream, smooth, wove Japan Shidzuoka paper; and 3 suites: 1 on ivory, smooth, laid China paper, 1 on cream, smooth, wove paper; and suite of cancelled plates on cream, smooth, wove Japan Shidzuoka paper",1
"Watercolor, ink, and felt-tip pen on paper",1
"Oil and epoxy on aluminum, and wire mesh",1
"Walnut, leather, and molded plywood",1
"Engraved wood box with lid, containing mirror",1
Romanian one-sheet,1
Color photographic paper,1
"Steel, wood handle, and brass rivets",1
Gold paint on book page,1
"Video (black and white, silent), CRT monitor, aluminum and glass table, glass bowl, water, two concept papers, paper ephemera 
",1
"35 lithographic reproductions executed by other artists after ""Maillol compositions,"" printed in black; and supplementary suite, printed in color",1
"Woodcut, wood engraving, and photoengraving",1
Oil on black paper,1
Chromogenic color print in self-lubricating acrylic frame,1
"Lithograph and etching, with hole-punched paper dot collage additions",1
"Plastic, painted wood and other materials",1
"Leather case containing book, letters, photostats, and labeled vials filled with soot and burned paper",1
"Cut-and-pasted painted paper, gouache, and pencil on paper",1
"Wood box with compasses set into a wood tray containing small miscellaneous objects, with hinged lid lined with maps",1
"Four sheets, double-sided",1
Photographically processed silver image on paper,1
Jute and metallic thread,1
"Felt-tip pen, pencil, and watercolor on cut-and-pasted paper on paper",1
Wood engraving with pigmented paper,1
Polypropylene plastic and stainless steel,1
"Paper cutouts on wall, two channel video (color, silent, looped)",1
111 chromogenic color prints,1
"Multiple of screenprint on porcelain, enamelled steel plate",1
Aquatint and etching printed in bluish grey and white on black paper,1
Series of five screenprinted posters,1
Porfolio of ten screenprints,1
"Steel blade, wood handle, and rawhide string",1
"Watercolor, gesso, and wax on paper",1
"Colored pencil, ballpoint pen, and typewriting on paper",1
"Acrylic, cardboard, bristle, synthetic fur, steel, stainless steel
",1
Ink and stamps on postcards,1
"15 etchings (some with soft ground etching, aquatint, drypoint, and/or roulette), 2 soft ground etchings, and 3 drypoints (1 with soft ground etching), printed in black",1
"Gouache, ink, felt-tip pen, crayon, pencil, and cut-and-pasted painted paper on paper",1
"Oil, gouache, and plaster on canvas",1
"Pencil, ink, Letraset and collage on vellum",1
Illustrated book with three lithographs,1
"Colored ink and watercolor on paper
",1
"MDF, plastic and paint",1
"Illustrated book with 19 lithographs (including box cover, title page, and texts with borders)",1
"Microfilm, paper, lurex, mylar, and threads",1
"Graphite, pen, and correction fluid on type-written page",1
"Electrically powered assemblage with strainer, hammer, raw pigment, egg and metal brackets",1
Cigarettes and pencil on colored paper,1
Portfolio of thirty-three lithographs,1
Carbon paper and pencil on wall and floor,1
"Potato cut, printed in color",1
"Illustrated book with twenty-three etchings, some with aquatint, carborundum, photolithography, die-cut, torn or burnt paper, and/or paint additions",1
"Wood, plastic, resin, adhesive, electrical system, cotton, wire, thermometer, paint, hair, and plexiglass",1
Portfolio of five wood engravings,1
"Graphite, crayon, and color crayon on tracing paper",1
"Wooden crate, textile objects, and eight gelatin silver prints",1
"Cut-and-pasted printed paper, accordian-fold in two pieces, in plastic pouch",1
Chromogenic color prints and pencil,1
"Cut-and-pasted colored paper, gouache, and pencil on paper",1
Gouache and pencil on paper mounted on canvas,1
CD with exhibition catalogue,1
"Book with one letterpress illustration on cover, two fold-out letterpress typographic designs (one with collage), and letterpress typographic designs",1
"Collage of tempera (white lead), cut and pasted papers (water soluble coating on brown paper), pencil",1
"Typewriting, pencil, and correction fluid on paper; and eight gelatin silver prints",1
"Video installation with rags, wood, plastic, and panes of glass",1
Illustrated book with 1 etching (Head of Woman with Hat; unbound supplementary frontispiece),1
"Book and CD of ""Verwandlungsmusik""",1
Synthetic polymer paint and oil stick on canvas,1
"a: Pencil on paper; b: Ink on paper; c: Ink and pencil on paper on colored paper; d: Ink and felt-tip pen on paper; e: Felt-tip pen and watercolor on paper; f: Watercolor and felt-tip pen on paper; g: Watercolor on paper; h: Pencil, colored pencil, watercolor, gouache, and felt-tip pen on paper on paper; i: Felt-tip pen, watercolor, and pencil on paper; j: Felt-tip pen and watercolor on paper; k: Pencil and felt-tip pen on paper; l: Ink, watercolor, and paint pen on black paper; m: Ink and watercolor on paper

",1
"Etching, aquatint, with roulette",1
"Steel, plastic laminate and plywood",1
"Gelatin silver print, printed 1937",1
White gold with enameled dial,1
"Engraving, etching and scratching on riveted metal plates",1
Aluminum and plastic casing,1
"Drypoint and stipple, printed in black",1
Light bulb in plastic frame,1
"Photolithograph (newsprint background, New York Times Classified)",1
Cut-and-taped colored paper with pencil on paper,1
Ballpoint pen on four telegrams,1
Illustrated book with seventeen collagraphs and supplementary unbound screenprint,1
Oil and plaster on paper on burlap,1
Gouache on metal foil on paper,1
Engraving over photogravure with pencil additions,1
"Illustrated book with 19 etchings (4 with aquatint, drypoint, and/or embossing); and 1 soft ground etching and aquatint,",1
"Synthetic polymer paint, metallic paint, and ink on cut-and-pasted papers",1
"32 line block reproductions after pen and ink drawings, 13 with pochoir (including title page and wrapper front), printed in color",1
Multiple of cast glass,1
"Multiple of paper, plastic, stones, ink, and scotch tape",1
"Photolithographic reproduction of typescript, type, and manuscript, and 20 photolithographic reproductions after drawings and collages (including front cover)",1
"Anamorphic 35mm film transferred to video (color, sound)",1
Lithograph with foil collage additions,1
Charcoal and cut-and-pasted painted paper and cut-and-pasted hand-colored gelatin silver print on paper,1
Periodical with flexi-disc insert,1
"Photolithograph, printed in black on ivory, smooth, wove paper tipped onto white, smooth, wove paper",1
Trailer fragment,1
"Lithograph, printed in color with collage, chalk, pencil, and enamel paint additions",1
"Relief print and wood engraving with embossing, fake fur, and fabric additions",1
Plastic and steel casing,1
"Assemblage: 6 photolithographs, printed in black on 6 sheets of white, smooth, wove paper housed in glassine envelope with photolithograph, printed in color, tipped onto white, smooth, wove paper",1
"Enameled steel, leather, foam, and wood",1
"Lift ground aquatint, soft ground etching, and drypoint with roulette over photogravure",1
"Lithograph, with oil and pencil additions",1
"Monitors with digitized videos (color, sound), and shelving units",1
Conté crayon and pastel on paper,1
"Cut-and-pasted paper, pencil, ink, colored ink, and Band Aid on paper",1
Linotype and ink on cardstock,1
"Cut-and-pasted colored paper, felt-tip pen, pencil, ink, and watercolor on transparentized paper",1
"Gouache, watercolor, pencil, and stapled fabric on paper",1
Crayon on cut-and-taped printed paper on graph paper,1
"Transfer drawing, watercolor, and pencil on paper",1
Fiberglass-reinforced polyester and metal,1
Cotton and metallic thread,1
Rubber,1
"Charcoal, crayon, and graphite on tracing paper",1
"Steel, bronze and lead",1
"Aquatint, engraving, and drypoint",1
"Wood, brass, varnish, and paint",1
"Linoleum cut, printed in color with bleed through from preceding plate",1
"Brass rods, painted composition board or plywood, and vinyl text",1
Pencil and colored pencil on prepared paper,1
"Ink on ten pieces of paper
",1
"Canvas and wood kayak, wood staircase, four electric fans, 16mm film loop, and projector",1
"Gouache, crayon, and watercolor on paper",1
Hot-rolled carbon steel plate and water,1
"Crayon, graphite, and colored pencil on tracing paper",1
"Three-channel video (color, silent), two projectors, two screens, monitor",1
Glass and other materials,1
"Lithograph, offset printed with photolithograph and postcard collage",1
Multiple of aluminum with screenprint,1
"Gouache, ink, and crayon on board",1
Illustrated book with twenty-five photogravure reproductions (seven with pochoir),1
"Illustrated book with 6 etchings (including 1 after Tanguy drawing), 3 with lift ground aquatint, aquatint, drypoint, engraving, and/or roulette; 3 drypoints (1 with engraving); 1 engraving; 2 woodcuts; 1 lithograph; and 3 aquatints (2 with lift ground aquatint and 1 with soft ground etching",1
Acrylic on seventy sheets of paper,1
"Fold-out collage and rubber stamp, printed in color",1
"Painted steel, aluminum, and magnet",1
"Modeling putty and pigmented shellac-based paint on wire armature with fabric, beads, and wood",1
Cut-and-pasted postage stamps on paper,1
Watercolor and pencil on three sheets of paper,1
portfolio of six lithographs,1
"Pencil, pen and brush and ink, and crayon on envelope",1
"Printed synthetic polymer decal
",1
Charred dry pigment in synthetic resin with metallic paint on asbestos-coated paper on board,1
Olive wood with ash panels,1
Print and ink on paper,1
Watercolor on paper mounted on board,1
Tempera and metallic paint on cut and torn cardboard,1
"Felt-tip pen, ballpoint pen, synthetic polymer paint, and pencil on paper",1
"Plaster, burlap, expanded steel mesh, and steel beams",1
Three gelatin silver prints and typewriting on paper,1
Molded laminated beech wood and hemp webbing,1
"Felt-tip pen, pencil, crayon, and correction fluid on paper",1
Porcelain coated with manganese and copper carbonate glaze,1
"Plexiglass and nylon wire, with aluminum base",1
Oil on canvas with rope,1
Handwoven linen and cotton,1
Photostat negative,1
"Bronze with black patina 17 1/4 x 8 1/2 x 12 1/2"" (43.8 x 21.5 x 31.7 cm), on limestone base 5 3/4 x 6 1/8 x 7 3/8"" (14.6 x 15.6 x 18.7 cm)",1
metal plaques,1
"Pencil, crayon, ink and colored pencil on paper",1
Book with thirty-five lithographed illustrations (including cover) and lithographed manuscript text,1
