Name,Nationality,Gender,Birth Year,Death Year,Living Status,Age
George Minne,Belgian,Male,1867,1941,FALSE,74
Marilyn Minter,American,Female,1948,Alive,TRUE,#VALUE!
Marta Minujín,Argentine,Male,1943,Alive,TRUE,#VALUE!
Luciano Miori,Italian,Male,1922,2006,FALSE,84
Jean Miotte,French,Male,1926,Alive,TRUE,#VALUE!
Victor Mira,Spanish,Male,1949,Alive,TRUE,#VALUE!
Antoni Miralda,Spanish,Male,1942,Alive,TRUE,#VALUE!
Joan Miró,Spanish,Male,1893,1983,FALSE,90
Rodolfo (Rodolfo Mishaan Pinto) Mishaan,Guatemalan,Male,1924,Alive,TRUE,#VALUE!
Léonard Misonne,Belgian,Male,1870,1943,FALSE,73
Richard Misrach,American,Male,1949,Alive,TRUE,#VALUE!
Mary Miss,American,Female,1944,Alive,TRUE,#VALUE!
Julio Mitchel,Cuban,Male,1942,Alive,TRUE,#VALUE!
Joan Mitchell,American,Female,1925,1992,FALSE,67
Dmitrii Mitrokhin,Russian,Male,1883,1973,FALSE,90
Akira Miyoshi,Japanese,Male,1919,Alive,TRUE,#VALUE!
Jan Młodożeniec,Polish,Male,1929,2000,FALSE,71
Evsa Model,American,Male,1900,1976,FALSE,76
Lisette Model,American,Female,1901,1983,FALSE,82
Paula Modersohn-Becker,German,Female,1876,1907,FALSE,31
Amedeo Modigliani,Italian,Male,1884,1920,FALSE,36
Tina Modotti,Italian,Female,1896,1942,FALSE,46
Curtis Moffat,British,Male,1887,1949,FALSE,62
Paul Mogensen,American,Male,1941,Alive,TRUE,#VALUE!
Bill Moggridge,British,Male,1943,2012,FALSE,69
László Moholy-Nagy,American,Male,1895,1946,FALSE,51
Benjamín Molina,Mexican,Male,1914,Alive,TRUE,#VALUE!
Guido Molinari,Canadian,Male,1933,2004,FALSE,71
Eduardo Moll,Peruvian,Male,1929,Alive,TRUE,#VALUE!
Johannes Molzahn,German,Male,1892,1965,FALSE,73
Sahlan Momo,Italian,Male,1944,Alive,TRUE,#VALUE!
Piet Mondrian,Dutch,Male,1872,1944,FALSE,72
Claude Monet,French,Male,1840,1926,FALSE,86
Jay Monroe,American,Male,1926,Alive,TRUE,#VALUE!
Gustavo Monroy,Mexican,Male,1959,Alive,TRUE,#VALUE!
Rubén Ortiz-Torres,Mexican,Male,1964,Alive,TRUE,#VALUE!
Roberto Montenegro,Mexican,Male,1885,1968,FALSE,83
Jan Montyn,Dutch,Male,1924,Alive,TRUE,#VALUE!
Robert Moon,American,Male,1941,Alive,TRUE,#VALUE!
John D. Mooney,American,Male,1941,Alive,TRUE,#VALUE!
Claire (Claire Mahl) Moore,American,Female,1917,1988,FALSE,71
David Moore,American,Male,1918,Alive,TRUE,#VALUE!
Frank Moore,American,Male,1953,2002,FALSE,49
Henry Moore,British,Male,1898,1986,FALSE,88
Margaret Ann Moorman,American,Female,1948,Alive,TRUE,#VALUE!
Max Oppenheimer (MOPP),American,Male,1885,1954,FALSE,69
"Francisco (""Pancho"") Mora",Mexican,Male,1922,2002,FALSE,80
Otto Morach,Swiss,Male,1887,1973,FALSE,86
Armando Morales Sequeira,Nicaraguan,Male,1927,2011,FALSE,84
Giorgio Morandi,Italian,Male,1890,1964,FALSE,74
Ibi Trier Mørch,Danish,Male,1910,1980,FALSE,70
Luc-Albert Moreau,French,Male,1882,1948,FALSE,66
François Morellet,French,Male,1926,2016,FALSE,90
Mattia Moreni,Italian,Female,1920,Alive,TRUE,#VALUE!
Rafael Moreno,Cuban,Male,1887,1955,FALSE,68
Gabriel Morera,Venezuelan,Male,1933,Alive,TRUE,#VALUE!
Carlo Moretti,Italian,Male,1934,Alive,TRUE,#VALUE!
Barbara Morgan,American,Female,1900,1992,FALSE,92
Maud Morgan,American,Female,1903,1999,FALSE,96
Norma G. Morgan,American,Female,1928,Alive,TRUE,#VALUE!
Yoshitoshi Mori,Japanese,Male,1897,1992,FALSE,95
Shigeyoshi Morioka,Japanese,Male,1941,Alive,TRUE,#VALUE!
Berthe Morisot,French,Female,1841,1895,FALSE,54
Morita Yasuji,Japanese,Male,1912,1960,FALSE,48
Andreas Moritz,German,Male,1901,1983,FALSE,82
Masamitsu Moriwaki,Japanese,Male,1924,Alive,TRUE,#VALUE!
Daido Moriyama,Japanese,Male,1938,Alive,TRUE,#VALUE!
Malcolm Morley,American,Male,1931,Alive,TRUE,#VALUE!
Carl Morris,American,Male,1911,Alive,TRUE,#VALUE!
George L. K. Morris,American,Male,1905,1975,FALSE,70
Hilda Morris,American,Female,1911,1991,FALSE,80
Robert Morris,American,Male,1931,Alive,TRUE,#VALUE!
Wright Morris,American,Male,1910,1998,FALSE,88
Andrew Morrison,American,Male,1939,Alive,TRUE,#VALUE!
Jonathan Morse,American,Male,1948,Alive,TRUE,#VALUE!
Richard Mortensen,Danish,Male,1910,1993,FALSE,83
Ree Morton,American,Female,1936,1977,FALSE,41
Mike Mosco,American,Male,1921,Alive,TRUE,#VALUE!
Victor Moscoso,American,Male,1936,Alive,TRUE,#VALUE!
Jill Moser,American,Female,1956,Alive,TRUE,#VALUE!
Koloman Moser,Austrian,Male,1868,1918,FALSE,50
Ed Moses,American,Male,1926,Alive,TRUE,#VALUE!
Robert Moskowitz,American,Male,1935,Alive,TRUE,#VALUE!
Charles William Moss,American,Male,1923,Alive,TRUE,#VALUE!
Marlow Moss,British,Female,1890,1958,FALSE,68
Olivier Mosset,Swiss,Male,1944,Alive,TRUE,#VALUE!
Robert Motherwell,American,Male,1915,1991,FALSE,76
Sadamasa Motonaga,Japanese,Male,1922,2011,FALSE,89
Deborah de Moulpied,American,Female,1933,Alive,TRUE,#VALUE!
Edward Moulthrop,American,Male,1916,Alive,TRUE,#VALUE!
Olivier Mourgue,French,Male,1939,Alive,TRUE,#VALUE!
Stanley Mouse,American,Male,1940,Alive,TRUE,#VALUE!
Seong Moy,American,Male,1921,2013,FALSE,92
Marcello Muccini,Italian,Male,1926,1978,FALSE,52
Alphonse Mucha,Czech,Male,1860,1939,FALSE,79
Georg Muche,German,Male,1895,1987,FALSE,92
James Mudd,British,Male,1821,1906,FALSE,85
Grant Mudford,Australian,Male,1944,Alive,TRUE,#VALUE!
Otto Mueller,German,Male,1874,1930,FALSE,56
John Muench,American,Male,1914,1993,FALSE,79
Shuji Mukai,Japanese,Male,1939,Alive,TRUE,#VALUE!
Thomas Mukarobgwa,Zimbabwean,Male,1924,1999,FALSE,75
Mark W. Mulhern,American,Male,1951,Alive,TRUE,#VALUE!
Michael Mullen,American,Male,1937,Alive,TRUE,#VALUE!
Fridolin Müller,Swiss,Male,1926,Alive,TRUE,#VALUE!
Grégoire Müller,Swiss,Male,1947,Alive,TRUE,#VALUE!
Jan Müller,American,Male,1922,1958,FALSE,36
Robert Müller,Swiss,Male,1920,2003,FALSE,83
Josef Müller-Brockmann,Swiss,Male,1914,1996,FALSE,82
Hans Müller-Dachau,German,Male,1877,1925,FALSE,48
Peter Müller-Munk,American,Male,1904,1967,FALSE,63
Shizuko Muller-Yoshikawa,Swiss,Female,1934,Alive,TRUE,#VALUE!
Gerd Alfred Müller,German,Male,1932,Alive,TRUE,#VALUE!
Lee Mullican,American,Male,1919,1998,FALSE,79
Matt Mullican,American,Male,1951,Alive,TRUE,#VALUE!
Shiko Munakata,Japanese,Male,1903,1975,FALSE,72
Bruno Munari,Italian,Male,1907,1998,FALSE,91
Edvard Munch,Norwegian,Male,1863,1944,FALSE,81
Janis Muncis,Russian,Male,1886,1955,FALSE,69
Robert Munford,American,Male,1925,1991,FALSE,66
Martin Munkácsi,American,Male,1896,1963,FALSE,67
Richard Munsell,American,Male,1909,Alive,TRUE,#VALUE!
Maina-Miriam Munsky,German,Female,1943,1999,FALSE,56
Donald Munson,American,Male,1945,Alive,TRUE,#VALUE!
Gabriele Münter,German,Female,1877,1962,FALSE,85
Reiko Tanabe,Japanese,Female,1934,Alive,TRUE,#VALUE!
Nickolas Muray,American,Male,1892,1965,FALSE,73
Walter Tandy Murch,American,Male,1907,1967,FALSE,60
Zühtü Müritoğlu,Turkish,Male,1906,1992,FALSE,86
Catherine Murphy,American,Female,1946,Alive,TRUE,#VALUE!
Gerald Murphy,American,Male,1888,1964,FALSE,76
John J. A. Murphy,American,Male,1888,1967,FALSE,79
Michaela Allan Murphy,American,Male,1952,Alive,TRUE,#VALUE!
Elizabeth Murray,American,Female,1940,2007,FALSE,67
Edo Murtic,Yugoslav,Male,1921,2005,FALSE,84
Isaac Lane Muse,American,Male,1906,1996,FALSE,90
Antonio Zoran Music,Italian,Male,1909,2005,FALSE,96
Peter Mussfeldt,Ecuadorian,Male,1938,Alive,TRUE,#VALUE!
Toby Mussman,American,Male,1940,Alive,TRUE,#VALUE!
Eadweard J. Muybridge,American,Male,1830,1904,FALSE,74
Carl Mydans,American,Male,1907,Alive,TRUE,#VALUE!
Jerome Myers,Nationality unknown,Male,1867,1940,FALSE,73
Nadar (Gaspard-Félix Tournachon),French,Male,1820,1910,FALSE,90
Elie Nadelman,American,Male,1882,1946,FALSE,64
Kazumasa Nagai,Japanese,Male,1929,Alive,TRUE,#VALUE!
John Nagel,American,Male,1942,Alive,TRUE,#VALUE!
Reinhold Nägele,German,Male,1884,1972,FALSE,88
Masatoshi Naitoh,Japanese,Male,1938,Alive,TRUE,#VALUE!
Naoto Nakagawa,Japanese,Male,1944,Alive,TRUE,#VALUE!
Makoto Nakamura,Japanese,Male,1926,Alive,TRUE,#VALUE!
Iwata Nakayama,Japanese,Male,1895,1949,FALSE,54
Hitoshi Nakazato,Japanese,Male,1936,2010,FALSE,74
Reuben Nakian,American,Male,1897,1986,FALSE,89
Mauricio Nannucci,Italian,Male,1939,Alive,TRUE,#VALUE!
Harry Napper,British,Male,1860,1930,FALSE,70
James Nares,British,Male,1953,Alive,TRUE,#VALUE!
John Northcote Nash,British,Male,1893,1977,FALSE,84
Paul Nash,British,Male,1889,1946,FALSE,57
Thomas W. Nason,Nationality unknown,Male,1889,1971,FALSE,82
Ben Nason,American,Male,1915,Alive,TRUE,#VALUE!
Carlo Nason,Italian,Male,1935,Alive,TRUE,#VALUE!
Umberto Nason,Italian,Male,1889,1964,FALSE,75
Jacques Nathan-Garamond,French,Male,1910,2001,FALSE,91
Robert Natkin,American,Male,1930,2010,FALSE,80
Ulrike Nattermuller,German,Male,1955,Alive,TRUE,#VALUE!
Gertrud Natzler,American,Female,1908,1971,FALSE,63
Otto Natzler,American,Male,1908,2007,FALSE,99
Heinrich Nauen,German,Male,1880,1941,FALSE,61
Bruce Nauman,American,Male,1941,Alive,TRUE,#VALUE!
Ernst Wilhelm Nay,German,Male,1902,1968,FALSE,66
Genevieve Naylor,American,Female,1914,1989,FALSE,75
Joseph Ndandarika,Zimbabwean,Male,1944,1991,FALSE,47
Reginald Neal,American,Male,1909,Alive,TRUE,#VALUE!
Otto Nebel,German,Male,1892,1973,FALSE,81
Joseph Nechvatal,American,Male,1953,Alive,TRUE,#VALUE!
Nedo Mion Ferrario,Venezuelan,Male,1926,2001,FALSE,75
Alice Neel,American,Female,1900,1984,FALSE,84
Charles Nègre,French,Male,1820,1880,FALSE,60
Édgar Negret,Colombian,Male,1920,2012,FALSE,92
Ernst Neizvestny,Russian,Male,1925,2016,FALSE,91
George Nelson,American,Male,1908,1986,FALSE,78
Joan Nelson,American,Female,1958,Alive,TRUE,#VALUE!
Robert A. Nelson,American,Male,1925,Alive,TRUE,#VALUE!
Vladimir Nikolaevich Nemukhin,Russian,Male,1925,Alive,TRUE,#VALUE!
Virginia Nepodal,American,Female,1914,2009,FALSE,95
Lowell Nesbitt,American,Male,1933,1993,FALSE,60
Rolf Nesch,Norwegian,Male,1893,1975,FALSE,82
Greta Von Nessen,American,Female,1898,1978,FALSE,80
Walter Von Nessen,American,Male,1889,1943,FALSE,54
Steven E. Nestler,American,Male,1946,Alive,TRUE,#VALUE!
Bea Nettles,American,Female,1946,Alive,TRUE,#VALUE!
Robert S. Neuman,American,Male,1926,2015,FALSE,89
Joshua Neustein,American,Male,1940,Alive,TRUE,#VALUE!
Richard Neutra,American,Male,1892,1970,FALSE,78
Louise Nevelson,American,Female,1899,1988,FALSE,89
Christopher Richard Wynne Nevinson,British,Male,1889,1946,FALSE,57
Albert Newall,British,Male,1920,1989,FALSE,69
Beaumont Newhall,American,Male,1908,1993,FALSE,85
Arnold Newman,American,Male,1918,2006,FALSE,88
Barnett Newman,American,Male,1905,1970,FALSE,65
John Newman,American,Male,1952,Alive,TRUE,#VALUE!
Algernon Newton,British,Male,1880,1968,FALSE,88
Gordon Newton,American,Male,1948,Alive,TRUE,#VALUE!
Don Nice,American,Male,1932,Alive,TRUE,#VALUE!
Herbert B. Nichols,American,Male,1907,1994,FALSE,87
Ben Nicholson,British,Male,1894,1982,FALSE,88
William Newzam Prior Nicholson,British,Male,1872,1949,FALSE,77
Robert Lovis Nicoidski,Swiss,Male,1931,2001,FALSE,70
Nic Nicosia,American,Male,1951,Alive,TRUE,#VALUE!
Palle Nielson,Danish,Male,1920,2005,FALSE,85
Rodolfo Nieto,Mexican,Male,1936,Alive,TRUE,#VALUE!
Frans van Nieuwenborg,Dutch,Male,1941,Alive,TRUE,#VALUE!
Minoru Niizuma,Japanese,Male,1930,1998,FALSE,68
