Name,Nationality,Gender,Birth Year,Death Year,Living Status,Age
James Thurber,American,Male,1894,1961,FALSE,67
Kn Thurlbeck,American,Male,1947,Alive,TRUE,#VALUE!
George A. Tice,American,Male,1938,Alive,TRUE,#VALUE!
Anna Ticho,Israeli,Female,1894,1981,FALSE,87
Louis Comfort Tiffany,American,Male,1848,1933,FALSE,85
Sidney Tillim,American,Male,1925,2001,FALSE,76
Joe Tilson,British,Male,1928,Alive,TRUE,#VALUE!
Elizabeth Timberman,American,Female,1908,Alive,TRUE,#VALUE!
Walasse Ting,American,Male,1929,2010,FALSE,81
Jean Tinguely,Swiss,Male,1925,1991,FALSE,66
Bruce Tippett,British,Male,1933,Alive,TRUE,#VALUE!
William Tipton,American,Male,1850,1929,FALSE,79
Henriette Tirman,French,Female,1875,1952,FALSE,77
Gérard Titus-Carmel,French,Male,1942,Alive,TRUE,#VALUE!
Hap Tivey,American,Male,1947,Alive,TRUE,#VALUE!
Mark Tobey,American,Male,1890,1976,FALSE,86
Masatoshi Toda,Japanese,Male,1948,Alive,TRUE,#VALUE!
Charles S. Todd,American,Male,1885,1950,FALSE,65
Francisco Toledo,Mexican,Male,1940,Alive,TRUE,#VALUE!
Hans Tollin,Swedish,Male,1947,Alive,TRUE,#VALUE!
Henryk Tomaszewski,Polish,Male,1914,2001,FALSE,87
Shomei Tomatsu,Japanese,Male,1930,2012,FALSE,82
Bradley Walker Tomlin,American,Male,1899,1953,FALSE,54
Kristians Tonny,Dutch,Male,1907,1977,FALSE,70
George Tooker,American,Male,1920,2011,FALSE,91
Jan Toorop,Dutch,Male,1858,1928,FALSE,70
Roland Topor,French,Male,1938,1997,FALSE,59
Mario Toral,Chilean,Male,1934,Alive,TRUE,#VALUE!
Helen Torr,American,Female,1886,1967,FALSE,81
Joaquín Torres-García,Uruguayan,Male,1874,1949,FALSE,75
Endre Tót,Hungarian,Male,1937,Alive,TRUE,#VALUE!
Carl Toth,American,Male,1947,Alive,TRUE,#VALUE!
Henri de Toulouse-Lautrec,French,Male,1864,1901,FALSE,37
William N. Touzani,Moroccan,Male,1954,Alive,TRUE,#VALUE!
Harold Tovish,American,Male,1921,Alive,TRUE,#VALUE!
Harold Barling Town,Canadian,Male,1924,1991,FALSE,67
Hugh Townley,American,Male,1923,2008,FALSE,85
Toyen (Marie Cerminová),Czech,Female,1902,1980,FALSE,78
Tomonori Toyofuku,Japanese,Male,1925,Alive,TRUE,#VALUE!
Neil Trager,American,Male,1947,Alive,TRUE,#VALUE!
Philip Trager,American,Male,1935,Alive,TRUE,#VALUE!
Steven Trefonides,American,Male,1926,Alive,TRUE,#VALUE!
Marc Treib,American,Male,1943,Alive,TRUE,#VALUE!
Adolph Treidler,American,Male,1886,1981,FALSE,95
Joyce Treiman,American,Female,1922,1991,FALSE,69
Otto Treumann,Dutch,Male,1919,Alive,TRUE,#VALUE!
Hann Trier,German,Male,1915,1999,FALSE,84
Rosemarie Trockel,German,Female,1952,Alive,TRUE,#VALUE!
Rudi Tröger,German,Male,1929,Alive,TRUE,#VALUE!
Clovis Trouille,French,Male,1899,1975,FALSE,76
Ernest  Trova,American,Male,1927,2009,FALSE,82
David Trowbridge,American,Male,1945,Alive,TRUE,#VALUE!
Niklaus Troxler,Swiss,Male,1947,Alive,TRUE,#VALUE!
Louis-Abel Truchet,French,Male,1857,1918,FALSE,61
David True,American,Male,1942,Alive,TRUE,#VALUE!
Van Day Truex,American,Male,1904,1979,FALSE,75
Anne Truitt,American,Female,1921,2004,FALSE,83
Georg Trump,German,Male,1896,1985,FALSE,89
Nina Tryggvadottir,Icelandic,Female,1913,1968,FALSE,55
George Tscherny,American,Male,1924,Alive,TRUE,#VALUE!
Jan Tschichold,Swiss,Male,1902,1974,FALSE,72
Augustin Tschinkel,Czech,Male,1905,Alive,TRUE,#VALUE!
Oswald Tschirtner,Austrian,Male,1920,Alive,TRUE,#VALUE!
Lill Tschudi,Swiss,Female,1911,2004,FALSE,93
Tokiyoshi Tsubouchi,Japanese,Male,1946,Alive,TRUE,#VALUE!
Hiromi Tsuchida,Japanese,Male,1939,Alive,TRUE,#VALUE!
Tsuchiya Rakusan,Japanese,Male,1896,1976,FALSE,80
Akihiko Tsukamoto,Japanese,Male,1952,Alive,TRUE,#VALUE!
Albert Tucker,Australian,Male,1914,1999,FALSE,85
Nicolas Tucker,British,Male,1948,Alive,TRUE,#VALUE!
Toba Tucker,American,Female,1935,Alive,TRUE,#VALUE!
William Tucker,American,Male,1935,Alive,TRUE,#VALUE!
Akesuk Tudlik,Canadian Inuit,Male,1890,1966,FALSE,76
Rafael Tufiño,American,Male,1922,2008,FALSE,86
Jakob Tuggener,Swiss,Male,1904,1988,FALSE,84
Thomas Tulis,American,Male,1961,Alive,TRUE,#VALUE!
Igael Tumarkin,Israeli,Male,1933,Alive,TRUE,#VALUE!
John Tunnard,British,Male,1900,1971,FALSE,71
Earl S. Tupper,American,Male,1907,1983,FALSE,76
Albert Angus Turbayne,American,Male,1866,1940,FALSE,74
Giulio Turcato,Italian,Male,1912,Alive,TRUE,#VALUE!
Marko Turk,Slovenian,Male,1920,1999,FALSE,79
William Turnbull,British,Male,1922,2012,FALSE,90
Roberto Turnbull Buenrostro,Mexican,Male,1959,Alive,TRUE,#VALUE!
Alwyn Scott Turner,American,Male,1936,Alive,TRUE,#VALUE!
Alan Turner,American,Male,1943,Alive,TRUE,#VALUE!
Benjamin Brecknell Turner,British,Male,1815,1894,FALSE,79
James Turrell,American,Male,1943,Alive,TRUE,#VALUE!
Anne Turyn,American,Female,1954,Alive,TRUE,#VALUE!
Richard Tuttle,American,Male,1941,Alive,TRUE,#VALUE!
Léon H. Tutundjian,Russian,Male,1905,1968,FALSE,63
Guenter Tuzina,German,Male,1951,Alive,TRUE,#VALUE!
Stanley Twardowicz,American,Male,1917,2008,FALSE,91
Cy Twombly,American,Male,1928,2011,FALSE,83
Jack Tworkov,American,Male,1900,1982,FALSE,82
Alexei Alexandrovich Tyapushkin,Russian,Male,1919,Alive,TRUE,#VALUE!
Edgard Tytgat,Belgian,Male,1879,1957,FALSE,78
Raoul Ubac,Belgian,Male,1910,1985,FALSE,75
Ansei Uchima,American,Male,1921,Alive,TRUE,#VALUE!
Günther Uecker,German,Male,1930,Alive,TRUE,#VALUE!
Shoji Ueda,Japanese,Male,1913,2000,FALSE,87
Jerry Uelsmann,American,Male,1934,Alive,TRUE,#VALUE!
Maria Uhden,German,Female,1892,1918,FALSE,26
Ulla af Ugglas,Swedish,Female,1916,Alive,TRUE,#VALUE!
Doris Ulmann,American,Female,1884,1934,FALSE,50
Timm Ulrichs,German,Male,1940,Alive,TRUE,#VALUE!
Umbo (Otto Umbehr),German,Male,1902,1980,FALSE,78
Hans Unger,British,Male,1872,1936,FALSE,64
Max Unold,German,Male,1885,1964,FALSE,79
Richard Upton,American,Male,1931,2013,FALSE,82
José Urbach,American,Male,1940,Alive,TRUE,#VALUE!
Albert Urban,American,Male,1909,1959,FALSE,50
Reva Urban,American,Female,1925,1987,FALSE,62
Maciej Urbaniec,Polish,Male,1925,2004,FALSE,79
Graziella Urbinati,Italian,Female,1927,Alive,TRUE,#VALUE!
Tony Urquhart,Canadian,Male,1934,Alive,TRUE,#VALUE!
Demetrio Urruchúa,Argentine,Male,1902,1978,FALSE,76
Mario Urteaga,Peruvian,Male,1875,1957,FALSE,82
Kenji Ushiku,Japanese,Male,1922,Alive,TRUE,#VALUE!
Maurice Utrillo,French,Male,1883,1955,FALSE,72
Burk Uzzle,American,Male,1938,Alive,TRUE,#VALUE!
John Vachon,American,Male,1914,1975,FALSE,61
Polygnotos G. Vagis,American,Male,1894,1965,FALSE,71
Laurence Vail,American,Male,1891,1968,FALSE,77
Roger Vail,American,Male,1945,Alive,TRUE,#VALUE!
Meyer Vaisman,American,Male,1960,Alive,TRUE,#VALUE!
Suzanne Valadon,French,Female,1865,1938,FALSE,73
Valdo-Barbey (Valdo-Luis Barbey),French,Male,1883,1965,FALSE,82
Alfredo Valente,American,Male,1899,1973,FALSE,74
James Valentine,British,Male,1815,1880,FALSE,65
Walter Valentini,Italian,Male,1928,Alive,TRUE,#VALUE!
Gino Valle,Italian,Male,1923,2003,FALSE,80
Félix Vallotton,French,Male,1865,1925,FALSE,60
Louis Valtat,French,Male,1869,1952,FALSE,83
Philip Van Aver,American,Male,1939,Alive,TRUE,#VALUE!
Richard Van Buren,American,Male,1937,Alive,TRUE,#VALUE!
Henry Clemens van de Velde,Belgian,Male,1863,1957,FALSE,94
Roland van den Berghe,Dutch,Male,1943,Alive,TRUE,#VALUE!
Ed van Der Elsken,Dutch,Male,1925,1990,FALSE,65
Bart Van Der Leck,Dutch,Male,1876,1958,FALSE,82
James Van Der Zee,American,Male,1886,1983,FALSE,97
James Van Dijk,American,Male,1930,2002,FALSE,72
Theo van Doesburg (Christian Emil Marie Küpper),Dutch,Male,1883,1931,FALSE,48
Kees van Dongen,French,Male,1877,1968,FALSE,91
Willard Van Dyke,American,Male,1906,1986,FALSE,80
Ger van Elk,Dutch,Male,1941,2014,FALSE,73
Jay Van Everen,American,Male,1875,1947,FALSE,72
Jan L. A. van Goethem,Dutch,Male,1929,Alive,TRUE,#VALUE!
Diederick Van Kleef,Dutch,Male,1954,Alive,TRUE,#VALUE!
Willem van Leusden,Dutch,Male,1886,1974,FALSE,88
Wim van Stek,Dutch,Male,1925,2001,FALSE,76
R. H. Vance,American,Male,1825,1876,FALSE,51
William Vandivert,American,Male,1912,1992,FALSE,80
Julius Vannerson,American,Male,1827,1875,FALSE,48
Georges Vantongerloo,Belgian,Male,1886,1965,FALSE,79
Yarom Vardimon,Israeli,Male,1941,Alive,TRUE,#VALUE!
Victor Vasarely,French,Male,1908,1997,FALSE,89
Mohsen Vaziri-Moqaddam,Iranian,Male,1924,Alive,TRUE,#VALUE!
Gene Vass,American,Male,1922,1996,FALSE,74
Ben Vautier,French,Male,1935,Alive,TRUE,#VALUE!
Eugène Charles Paul Vavasseur,French,Male,1863,1949,FALSE,86
Kristian Vedel,Danish,Male,1923,2003,FALSE,80
Emilio Vedova,Italian,Male,1919,1995,FALSE,76
Jorge de la Vega,Argentine,Male,1930,1971,FALSE,41
Jukka Veistola,Finnish,Male,1946,Alive,TRUE,#VALUE!
Bram van Velde,Dutch,Male,1895,1981,FALSE,86
Vladimir Velickovic,Yugoslav,Male,1935,Alive,TRUE,#VALUE!
Ruth Velissaratos,American,Female,1887,Alive,TRUE,#VALUE!
Bernar Venet,French,Male,1941,Alive,TRUE,#VALUE!
Michael Venezia,American,Male,1935,Alive,TRUE,#VALUE!
Paolo Venini,Italian,Male,1895,1959,FALSE,64
Robert Venturi,American,Male,1925,Alive,TRUE,#VALUE!
Paul Véra,French,Male,1882,1957,FALSE,75
JoAnn Verburg,American,Female,1950,Alive,TRUE,#VALUE!
André Verlon,Austrian,Male,1917,1993,FALSE,76
Luigi Veronesi,Italian,Male,1908,1998,FALSE,90
Raúl Veroni,Argentine,Male,1913,1992,FALSE,79
Kurt Versen,American,Male,1901,Alive,TRUE,#VALUE!
Aleksandr Vesnin,Russian,Male,1883,1959,FALSE,76
Renzo Vespignani,Italian,Male,1924,2001,FALSE,77
Michael Vessa,American,Male,1948,Alive,TRUE,#VALUE!
David Vestal,American,Male,1924,2013,FALSE,89
Heinz Veuhoff,German,Male,1933,Alive,TRUE,#VALUE!
Ivan (Vial Williams) Vial,Chilean,Male,1928,Alive,TRUE,#VALUE!
Claude Viallat,French,Male,1936,Alive,TRUE,#VALUE!
Alberto Viani,Italian,Male,1906,1989,FALSE,83
Esteban Vicente,American,Male,1903,2001,FALSE,98
Roger Vieillard,French,Male,1907,1989,FALSE,82
Constance Brenner Vieira Da Cunha,American,Female,1943,Alive,TRUE,#VALUE!
Maria Helena Vieira da Silva,French,Female,1908,1992,FALSE,84
Jean-Pierre Vielfaure,French,Male,1930,Alive,TRUE,#VALUE!
Romas Viesulas,American,Male,1918,1986,FALSE,68
Massimo Vignelli,Italian,Male,1931,2014,FALSE,83
Juan Vila Vilacasas,Spanish,Male,1920,Alive,TRUE,#VALUE!
Eduardo Vilches,Chilean,Male,1932,Alive,TRUE,#VALUE!
André Villeboeuf,French,Male,1893,1956,FALSE,63
Jacques Villeglé,French,Male,1926,Alive,TRUE,#VALUE!
Jacques Villon,French,Male,1875,1963,FALSE,88
René Vincent,Haitian,Male,1911,Alive,TRUE,#VALUE!
Lauretta Vinciarelli,Italian,Female,1943,2012,FALSE,69
Claude Viseux,French,Male,1927,2008,FALSE,81
Roman Vishniac,American,Male,1897,1990,FALSE,93
Carel Visser,Dutch,Male,1928,Alive,TRUE,#VALUE!
Carlo L. Vivarelli,Swiss,Male,1919,1986,FALSE,67
Giuseppe Viviani,Italian,Male,1898,1965,FALSE,67
Louis Vivin,French,Male,1861,1936,FALSE,75
Michael Vivo,American,Male,1947,1984,FALSE,37
Maurice de Vlaminck,French,Male,1876,1958,FALSE,82
Lucien Vlerick,Belgian,Male,1921,Alive,TRUE,#VALUE!
Heinrich Vogeler,German,Male,1872,1942,FALSE,70
Ruth Vollmer,American,Female,1903,1982,FALSE,79
Monika Von Boch,German,Female,1915,1993,FALSE,78
Baroness Elsa von Freytag-Loringhoven,German,Female,1874,1927,FALSE,53
Priska Von Martin,German,Female,1912,1982,FALSE,70
Otto Von Wätjen,Nationality unknown,Male,1881,1942,FALSE,61
John Von Wicht,American,Male,1888,1970,FALSE,82
Charmion von Wiegand,American,Female,1899,1983,FALSE,84
Friedrich Vordemberge-Gildewart,Dutch,Male,1899,1962,FALSE,63
Jan Voss,German,Male,1936,Alive,TRUE,#VALUE!
Wolf Vostell,German,Male,1932,1998,FALSE,66
Andrei Voznesensky,Russian,Male,1933,Alive,TRUE,#VALUE!
Adam Clark Vroman,American,Male,1856,1916,FALSE,60
Édouard Vuillard,French,Male,1868,1940,FALSE,72
Gérard Vulliamy,French,Male,1909,2005,FALSE,96
Vaclav Vytlacil,American,Male,1892,1984,FALSE,92
Ludwig Wachlmeier (or Aloys Ludwig Wach),Austrian,Male,1892,1940,FALSE,48
Konrad Wachsmann,American,Male,1901,1980,FALSE,79
Theodore Waddell,American,Male,1928,Alive,TRUE,#VALUE!
Edward Wadsworth,British,Male,1889,1949,FALSE,60
Jaap Wagemaker,Dutch,Male,1906,1972,FALSE,66
Wilhelm Wagenfeld,German,Male,1900,1990,FALSE,90
John F. Waggaman,American,Male,1923,Alive,TRUE,#VALUE!
Otto Wagner,Austrian,Male,1841,1918,FALSE,77
Wilhelm Wagner,German,Male,1887,1968,FALSE,81
Aijiro Wakita,Japanese,Male,1942,Alive,TRUE,#VALUE!
Sylvia Wald,American,Female,1915,2011,FALSE,96
Paul Waldman,American,Male,1936,Alive,TRUE,#VALUE!
Butch Walker,American,Male,1941,Alive,TRUE,#VALUE!
John Walker,British,Male,1939,Alive,TRUE,#VALUE!
Sandy Walker,American,Female,1942,Alive,TRUE,#VALUE!
Todd Walker,American,Male,1917,1998,FALSE,81
Abraham Walkowitz,American,Male,1878,1965,FALSE,87
August Walla,Austrian,Male,1936,Alive,TRUE,#VALUE!
Frank Wallace,American,Male,1881,1962,FALSE,81
Don Wallance,American,Male,1909,1990,FALSE,81
Alfred Wallis,British,Male,1855,1942,FALSE,87
Edward Wallowitch,American,Male,1932,1981,FALSE,49
William Walmsley,American,Male,1923,Alive,TRUE,#VALUE!
Karl Walser,Swiss,Male,1877,1943,FALSE,66
Bernard Walsh,American,Male,1912,2004,FALSE,92
Carl Walters,American,Male,1883,1955,FALSE,72
Ernest Walters,American,Male,1927,2004,FALSE,77
Eugene Walters,American,Male,1942,Alive,TRUE,#VALUE!
Jo Ann Walters,American,Female,1952,Alive,TRUE,#VALUE!
Allan Walton,British,Male,1891,1948,FALSE,57
Nicolaas (Sophie Warburg) Warb,Dutch,Female,1906,Alive,TRUE,#VALUE!
Velox Ward,American,Male,1901,1944,FALSE,43
Frederick Wardy,American,Male,1937,Alive,TRUE,#VALUE!
John D. Wareham,American,Male,1871,1954,FALSE,83
Andy Warhol,American,Male,1928,1987,FALSE,59
William Warnecke,American,Male,1881,1939,FALSE,58
Henry de Waroquier,French,Male,1881,1970,FALSE,89
Dody Weston Thompson,American,Male,1923,2012,FALSE,89
Marian Warzecha,Polish,Female,1930,Alive,TRUE,#VALUE!
Bradford Washburn,American,Male,1910,2007,FALSE,97
Ryo Watanabe,Japanese,Male,1936,Alive,TRUE,#VALUE!
Sadao Watanabe,Japanese,Male,1913,1996,FALSE,83
Yoshio Watanabe,Japanese,Male,1907,Alive,TRUE,#VALUE!
Carleton E. Watkins,American,Male,1829,1916,FALSE,87
Franklin Chenault Watkins,American,Male,1894,1972,FALSE,78
Gilbert A. Watrous,American,Male,1919,Alive,TRUE,#VALUE!
Brian J. Watson,British,Male,1949,Alive,TRUE,#VALUE!
Eva Watson-Schütze,American,Female,1867,1935,FALSE,68
Robert Watts,American,Male,1923,1988,FALSE,65
June Wayne,American,Female,1918,2011,FALSE,93
Todd Webb,American,Male,1905,2000,FALSE,95
Hugo Weber,American,Male,1918,1971,FALSE,53
Max Weber,American,Male,1881,1961,FALSE,80
Josiah Wedgwood,British,Male,1730,1795,FALSE,65
William Frederick Weege III,American,Male,1935,Alive,TRUE,#VALUE!
Harry Mohr Weese,American,Male,1915,1998,FALSE,83
William Wegman,American,Male,1943,Alive,TRUE,#VALUE!
Hans Wegner,Danish,Male,1914,2007,FALSE,93
Svend Weihrauch,Danish,Male,1899,1962,FALSE,63
Elbert Weinberg,American,Male,1928,1991,FALSE,63
Helen Joy Weinberg,American,Female,1900,1994,FALSE,94
Dan Weiner,American,Male,1919,1959,FALSE,40
Lawrence Weiner,American,Male,1942,Alive,TRUE,#VALUE!
Wolfgang Weingart,Swiss,Male,1941,Alive,TRUE,#VALUE!
David Weinrib,American,Male,1924,2016,FALSE,92
Joyce Weinstein,American,Female,1931,Alive,TRUE,#VALUE!
John Spence Weir,American,Male,1930,Alive,TRUE,#VALUE!
David Weiss,Swiss,Male,1946,2012,FALSE,66
John Joseph Weiss,American,Male,1941,Alive,TRUE,#VALUE!
Sabine Weiss,Swiss,Female,1924,Alive,TRUE,#VALUE!
Pepi Weixlgartner,Austrian,Female,1886,1981,FALSE,95
Mieczyslaw Wejman,Polish,Male,1912,1997,FALSE,85
Stanislaw Wejman,Polish,Male,1944,Alive,TRUE,#VALUE!
Roger Welch,American,Male,1929,Alive,TRUE,#VALUE!
W. Archibald Welden,American,Male,1900,1970,FALSE,70
Neil Welliver,American,Male,1929,2005,FALSE,76
James L. Wells,American,Male,1902,1993,FALSE,91
Lynton Wells,American,Male,1940,Alive,TRUE,#VALUE!
Jack Welpott,American,Male,1923,2007,FALSE,84
Stow Wengenroth,American,Male,1906,1978,FALSE,72
Jane Wenger,American,Female,1944,Alive,TRUE,#VALUE!
Theodor Werner,German,Male,1886,1969,FALSE,83
Wolfgang von Wersin,German,Male,1882,1976,FALSE,94
John Wesley,American,Male,1928,Alive,TRUE,#VALUE!
"Henry Wessel, Jr.",American,Male,1942,Alive,TRUE,#VALUE!
Tom Wesselmann,American,Male,1931,2004,FALSE,73
Levon West,American,Male,1900,1968,FALSE,68
Timothy West,American,Male,1937,2012,FALSE,75
H. C. Westermann,American,Male,1922,1981,FALSE,59
Brett Weston,American,Male,1911,1993,FALSE,82
Edward Weston,American,Male,1886,1958,FALSE,72
Harold Weston,American,Male,1894,1972,FALSE,78
Stefan Wewerka,German,Male,1928,Alive,TRUE,#VALUE!
Dennis Wheeler,American,Male,1935,Alive,TRUE,#VALUE!
John Adams Whipple,American,Male,1822,1891,FALSE,69
James McNeill Whistler,American,Male,1834,1903,FALSE,69
Rex Whistler,British,Male,1905,1944,FALSE,39
Clarence H. White,American,Male,1871,1925,FALSE,54
Charles White,American,Male,1918,1979,FALSE,61
Henry White,British,Male,1819,1903,FALSE,84
Linda White,American,Female,1945,Alive,TRUE,#VALUE!
Minor White,American,Male,1908,1976,FALSE,68
Neal White,American,Male,1947,Alive,TRUE,#VALUE!
Stephen White,American,Male,1948,Alive,TRUE,#VALUE!
Walter Whitehead,American,Male,1874,1956,FALSE,82
Brett Whiteley,Australian,Male,1939,1992,FALSE,53
Forbes Johnstone Whiteside,American,Male,1918,Alive,TRUE,#VALUE!
Robert Whitman,American,Male,1935,Alive,TRUE,#VALUE!
Jack Whitten,American,Male,1939,Alive,TRUE,#VALUE!
Jan Wichers,German,Male,1944,Alive,TRUE,#VALUE!
Jan Wiegers,Dutch,Male,1893,1959,FALSE,66
Jupp Wiertz,German,Male,1881,1939,FALSE,58
Don Wight,American,Male,1924,Alive,TRUE,#VALUE!
Orrin Wightman,American,Male,1873,1965,FALSE,92
Svend Wiig Hansen,Danish,Male,1922,1997,FALSE,75
Bjorn Wiinblad,Danish,Male,1918,2006,FALSE,88
Hendrikus Th. Wijdeveld,Dutch,Male,1885,1987,FALSE,102
Marguerite Wildenhain,American,Female,1896,1985,FALSE,89
Adolpho Wildt,Italian,Male,1868,1931,FALSE,63
William T. Wiley,American,Male,1937,Alive,TRUE,#VALUE!
Thomas Wilfred,American,Male,1889,1968,FALSE,79
Ulfert Wilke,American,Male,1907,1988,FALSE,81
John Willenbecher,American,Male,1936,Alive,TRUE,#VALUE!
Mildred E. Williams,Nationality unknown,Female,1892,1967,FALSE,75
Casey Williams,American,Male,1947,2013,FALSE,66
Daniel S. Williams,American,Male,1942,Alive,TRUE,#VALUE!
Emmett Williams,American,Male,1925,2007,FALSE,82
Fred Williams,Australian,Male,1927,1982,FALSE,55
Hiram Draper Williams,American,Male,1917,2003,FALSE,86
James Leon Williams,American,Male,1852,1920,FALSE,68
Mason Williams,American,Male,1938,Alive,TRUE,#VALUE!
William T. Williams,American,Male,1942,Alive,TRUE,#VALUE!
Clara McDonald Williamson,American,Female,1875,1976,FALSE,101
Thornton Willis,American,Male,1936,Alive,TRUE,#VALUE!
Manfred Willmann,Austrian,Male,1952,Alive,TRUE,#VALUE!
Christopher Wilmarth,American,Male,1943,1987,FALSE,44
George Washington Wilson,British,Male,1823,1893,FALSE,70
Jane Wilson,American,Female,1924,2015,FALSE,91
Michael Wilson,American,Male,1947,Alive,TRUE,#VALUE!
Robert Wilson,American,Male,1941,Alive,TRUE,#VALUE!
Scott Wilson,Scottish,Male,1889,1972,FALSE,83
David Wing,American,Male,1947,Alive,TRUE,#VALUE!
Sven Wingquist,Swedish,Male,1876,1953,FALSE,77
Trevor Winkfield,British,Male,1944,Alive,TRUE,#VALUE!
Gerd Winner,German,Male,1936,Alive,TRUE,#VALUE!
Geoff Winningham,American,Male,1943,Alive,TRUE,#VALUE!
Garry Winogrand,American,Male,1928,1984,FALSE,56
Neil Winokur,American,Male,1945,Alive,TRUE,#VALUE!
Rolf Winquist,Swedish,Male,1910,1968,FALSE,58
Jackie Winsor,American,Female,1941,Alive,TRUE,#VALUE!
Thomas W. Winstead,American,Male,1918,Alive,TRUE,#VALUE!
Fritz Winter,German,Male,1905,1976,FALSE,71
Alfred Winter-Rust,German,Male,1923,2000,FALSE,77
Robin Winters,American,Male,1950,Alive,TRUE,#VALUE!
Terry Winters,American,Male,1949,Alive,TRUE,#VALUE!
Tapio Wirkkala,Finnish,Male,1915,1985,FALSE,70
Kurt Wirth,Swiss,Male,1917,Alive,TRUE,#VALUE!
Marc Wise,American,Male,1964,Alive,TRUE,#VALUE!
Francis Wishart,British,Male,1951,Alive,TRUE,#VALUE!
Eugen Wiskovsky,Czech,Male,1888,1964,FALSE,76
Benno Wissing,Dutch,Male,1923,2008,FALSE,85
Adrian Wiszniewski,British,Male,1958,Alive,TRUE,#VALUE!
Joan Witek,American,Female,1943,Alive,TRUE,#VALUE!
Joel Peter Witkin,American,Male,1939,Alive,TRUE,#VALUE!
Rainer Wittenborn,German,Male,1941,Alive,TRUE,#VALUE!
Ben Wittick,American,Male,1845,1903,FALSE,58
Josef Rudolf Witzel,German,Male,1867,1927,FALSE,60
Emerson Woelffer,American,Male,1914,2003,FALSE,89
Agatha Wojciechowsky,American,Female,1893,1986,FALSE,93
Marion Post Wolcott,American,Female,1910,1990,FALSE,80
Arne Wolf,American,Male,1929,Alive,TRUE,#VALUE!
Sylvia Wolf,American,Female,1957,Alive,TRUE,#VALUE!
Jeffrey Wolin,American,Male,1951,Alive,TRUE,#VALUE!
Wols (A. O. Wolfgang Schulze),German,Male,1913,1951,FALSE,38
Andrew Kay Womrath,American,Male,1869,1939,FALSE,70
Helena (Mie Yuan Wong) Wong,Brazilian,Female,1938,1990,FALSE,52
Paul Wonner,American,Male,1920,2008,FALSE,88
Art Wood,American,Male,1918,Alive,TRUE,#VALUE!
Brian Wood,Canadian,Male,1948,Alive,TRUE,#VALUE!
Esther Wood,American,Female,1921,Alive,TRUE,#VALUE!
Grant Wood,American,Male,1891,1942,FALSE,51
Gross Wood,American,Male,1919,Alive,TRUE,#VALUE!
J. Trevor Wood,British,Male,1930,Alive,TRUE,#VALUE!
Charles Herbert Woodbury,American,Male,1864,1940,FALSE,76
Pamela Woodhead,British,Female,1955,2009,FALSE,54
George Woodman,American,Male,1932,Alive,TRUE,#VALUE!
Bill Woodrow,British,Male,1948,Alive,TRUE,#VALUE!
Joseph Janvier Woodward,American,Male,1833,1884,FALSE,51
Christopher Wool,American,Male,1955,Alive,TRUE,#VALUE!
Hal Woolf,British,Male,1902,1962,FALSE,60
Willard Worden,American,Male,1873,1946,FALSE,73
Piet Worm,Dutch,Male,1909,1996,FALSE,87
Edward Wormley,American,Male,1907,1995,FALSE,88
Troels Wörsel,Danish,Male,1950,Alive,TRUE,#VALUE!
Don Worth,American,Male,1924,2009,FALSE,85
Fritz Wotruba,Austrian,Male,1907,1975,FALSE,68
Dick Wray,American,Male,1933,2011,FALSE,78
Cedric Wright,American,Male,1889,1959,FALSE,70
Frank Lloyd Wright,American,Male,1867,1959,FALSE,92
Russel Wright,American,Male,1904,1976,FALSE,72
Andrzej J. Wroblewski,Polish,Male,1934,Alive,TRUE,#VALUE!
Theo Wujcik,American,Male,1936,2014,FALSE,78
Paul Wunderlich,German,Male,1927,2010,FALSE,83
Andrew Wyeth,American,Male,1917,2009,FALSE,92
James Wyeth,American,Male,1946,Alive,TRUE,#VALUE!
Lance Wyman,American,Male,1937,Alive,TRUE,#VALUE!
Richard Wyndham,British,Male,1896,1948,FALSE,52
Bryan Wynter,British,Male,1915,1981,FALSE,66
Llewellyn Xavier,British,Female,1942,Alive,TRUE,#VALUE!
Jaume Juez i Castella (Xirinius),Spanish,Male,1906,2002,FALSE,96
Ahmed Yacoubi,Moroccan,Male,1928,1985,FALSE,57
Kazuo Yagi,Japanese,Male,1918,1979,FALSE,61
Takao Yamada,Japanese,Male,1938,Alive,TRUE,#VALUE!
Yamaguchi Gen,Japanese,Male,1896,1976,FALSE,80
Harumi Yamaguchi,Japanese,Female,1941,Alive,TRUE,#VALUE!
Susumu Yamaguchi,Japanese,Male,1897,1983,FALSE,86
Takeo Yamaguchi,Japanese,Male,1902,1983,FALSE,81
Yoji Yamamoto,Japanese,Male,1943,Alive,TRUE,#VALUE!
Ryuichi Yamashiro,Japanese,Male,1920,Alive,TRUE,#VALUE!
Tad Yamashiro,American,Male,1930,Alive,TRUE,#VALUE!
Sori Yanagi,Japanese,Male,1915,2011,FALSE,96
John Yang,American,Male,1933,Alive,TRUE,#VALUE!
Max Yavno,American,Male,1911,1985,FALSE,74
Yayanagi Tsuyoshi,Japanese,Male,1933,Alive,TRUE,#VALUE!
Manoucher Yektai,American,Male,1921,Alive,TRUE,#VALUE!
Albert E. Yersin,Swiss,Male,1905,1984,FALSE,79
George Ygfors,Swedish,Male,1926,Alive,TRUE,#VALUE!
Ylla,American,Female,1911,1955,FALSE,44
